entity_id,entity_name,country,currency,fiscal_year_end,consolidation_level,parent_entity,is_active
ENT0088,Entity_88,GB,JPY,Jun,1,,True
ENT0089,Entity_89,FR,EUR,Mar,1,,True
ENT0090,Entity_90,JP,USD,Dec,2,,False
ENT0091,Entity_91,DE,EUR,Sep,2,,True
ENT0092,Entity_92,JP,EUR,Mar,2,ENT0092,True
ENT0093,Entity_93,JP,JPY,Sep,3,,True
ENT0094,Entity_94,GB,GBP,Dec,1,,False
ENT0095,Entity_95,JP,GBP,Dec,4,ENT0265,True
ENT0096,Entity_96,GB,USD,Sep,4,ENT0981,True
ENT0097,Entity_97,GB,JPY,Sep,1,ENT0340,True
ENT0098,Entity_98,FR,EUR,Sep,2,,True
ENT0099,Entity_99,FR,USD,Sep,1,,True
ENT0100,Entity_100,US,EUR,Dec,2,,True
ENT0101,Entity_101,JP,EUR,Sep,2,ENT0600,True
ENT0102,Entity_102,US,EUR,Jun,1,ENT0991,True
ENT0103,Entity_103,JP,USD,Dec,1,ENT0799,True
ENT0104,Entity_104,US,USD,Dec,2,ENT0532,True
ENT0105,Entity_105,FR,GBP,Sep,3,ENT0069,True
ENT0106,Entity_106,FR,USD,Mar,2,ENT0765,True
ENT0107,Entity_107,FR,GBP,Sep,4,ENT0170,True
ENT0108,Entity_108,FR,JPY,Dec,2,ENT0435,True
ENT0109,Entity_109,DE,JPY,Mar,4,ENT0765,True
ENT0110,Entity_110,FR,USD,Mar,1,ENT0309,True
ENT0111,Entity_111,GB,USD,Mar,3,ENT0111,True
ENT0112,Entity_112,FR,GBP,Jun,4,ENT0446,True
ENT0113,Entity_113,DE,JPY,Sep,1,,True
ENT0114,Entity_114,DE,GBP,Sep,4,ENT0771,True
ENT0115,Entity_115,DE,USD,Jun,2,,True
ENT0116,Entity_116,DE,EUR,Dec,2,ENT0740,False
ENT0117,Entity_117,US,JPY,Sep,3,ENT0800,True
ENT0118,Entity_118,US,EUR,Jun,3,ENT0349,False
ENT0119,Entity_119,GB,EUR,Jun,1,,True
ENT0120,Entity_120,US,EUR,Jun,4,ENT0098,True
ENT0121,Entity_121,DE,JPY,Sep,3,,True
ENT0122,Entity_122,FR,USD,Sep,4,ENT0463,True
ENT0123,Entity_123,FR,GBP,Jun,2,ENT0266,True
ENT0124,Entity_124,DE,GBP,Jun,3,ENT0049,True
ENT0125,Entity_125,JP,JPY,Jun,2,,True
ENT0126,Entity_126,DE,JPY,Mar,4,ENT0880,True
ENT0127,Entity_127,US,JPY,Mar,4,ENT0757,True
ENT0128,Entity_128,FR,EUR,Jun,4,ENT0328,True
ENT0129,Entity_129,DE,EUR,Dec,3,ENT0468,True
ENT0130,Entity_130,FR,EUR,Mar,4,ENT0258,True
ENT0131,Entity_131,DE,EUR,Jun,2,,False
ENT0132,Entity_132,DE,EUR,Sep,2,ENT0609,True
ENT0133,Entity_133,US,EUR,Jun,4,ENT0566,True
ENT0134,Entity_134,DE,EUR,Mar,1,ENT0966,True
ENT0135,Entity_135,FR,EUR,Mar,3,ENT0257,True
ENT0136,Entity_136,GB,USD,Jun,1,ENT0497,True
ENT0137,Entity_137,FR,EUR,Jun,3,ENT0968,True
ENT0138,Entity_138,US,EUR,Dec,2,,True
ENT0139,Entity_139,GB,EUR,Jun,2,ENT0559,True
ENT0140,Entity_140,DE,EUR,Mar,2,ENT0170,False
ENT0141,Entity_141,JP,JPY,Jun,2,ENT0317,True
ENT0142,Entity_142,GB,GBP,Sep,2,ENT0264,True
ENT0143,Entity_143,GB,JPY,Sep,2,,True
ENT0144,Entity_144,DE,JPY,Jun,3,ENT0384,True
ENT0145,Entity_145,JP,USD,Mar,4,,True
ENT0146,Entity_146,JP,EUR,Mar,3,ENT0722,True
ENT0147,Entity_147,US,EUR,Dec,3,ENT0147,True
ENT0148,Entity_148,GB,EUR,Sep,4,ENT0068,True
ENT0149,Entity_149,JP,EUR,Sep,4,,True
ENT0150,Entity_150,US,JPY,Sep,1,ENT0380,True
ENT0151,Entity_151,JP,GBP,Mar,3,ENT0119,True
ENT0152,Entity_152,GB,USD,Mar,1,ENT0259,True
ENT0153,Entity_153,JP,EUR,Sep,1,ENT0186,True
ENT0154,Entity_154,GB,JPY,Jun,4,ENT0334,True
ENT0155,Entity_155,DE,GBP,Jun,1,ENT0719,True
ENT0156,Entity_156,FR,EUR,Mar,4,,True
ENT0157,Entity_157,US,USD,Mar,4,,True
ENT0158,Entity_158,DE,JPY,Jun,4,ENT0764,True
ENT0159,Entity_159,DE,GBP,Sep,3,ENT0456,True
ENT0160,Entity_160,FR,GBP,Mar,4,ENT0771,True
ENT0161,Entity_161,JP,EUR,Sep,1,ENT0161,True
ENT0162,Entity_162,FR,EUR,Dec,4,,True
ENT0163,Entity_163,DE,JPY,Mar,1,ENT0923,True
ENT0164,Entity_164,DE,EUR,Sep,2,ENT0345,True
ENT0165,Entity_165,DE,EUR,Sep,1,ENT0315,True
ENT0166,Entity_166,JP,USD,Sep,2,ENT0738,True
ENT0167,Entity_167,GB,USD,Mar,3,,True
ENT0168,Entity_168,US,GBP,Sep,2,ENT0417,True
ENT0169,Entity_169,GB,JPY,Sep,4,ENT0169,True
ENT0170,Entity_170,US,JPY,Sep,3,ENT0613,True
ENT0171,Entity_171,US,EUR,Dec,3,,True
ENT0172,Entity_172,US,EUR,Jun,4,ENT0068,False
ENT0173,Entity_173,FR,GBP,Sep,2,ENT0589,True
ENT0174,Entity_174,FR,USD,Sep,2,,False
ENT0175,Entity_175,FR,USD,Dec,4,ENT0656,False
ENT0176,Entity_176,DE,GBP,Sep,3,ENT0403,True
ENT0177,Entity_177,FR,GBP,Dec,3,,True
ENT0178,Entity_178,US,USD,Mar,2,ENT0877,True
ENT0179,Entity_179,JP,GBP,Jun,1,ENT0870,True
ENT0180,Entity_180,DE,JPY,Mar,1,,True
ENT0181,Entity_181,JP,EUR,Jun,1,,True
ENT0182,Entity_182,US,JPY,Dec,1,ENT0538,True
ENT0183,Entity_183,DE,EUR,Jun,3,,True
ENT0184,Entity_184,FR,EUR,Jun,1,ENT0189,True
ENT0185,Entity_185,DE,EUR,Jun,3,,True
ENT0186,Entity_186,DE,GBP,Mar,4,ENT0197,True
ENT0187,Entity_187,US,USD,Mar,4,ENT0245,True
ENT0188,Entity_188,GB,USD,Mar,2,ENT0346,True
ENT0189,Entity_189,GB,EUR,Mar,1,ENT0017,True
ENT0190,Entity_190,GB,USD,Jun,4,ENT0379,True
ENT0191,Entity_191,FR,EUR,Mar,1,ENT0300,True
ENT0192,Entity_192,FR,GBP,Mar,3,ENT0522,True
ENT0193,Entity_193,FR,USD,Mar,3,ENT0352,True
ENT0194,Entity_194,GB,EUR,Dec,1,ENT0059,True
ENT0195,Entity_195,JP,EUR,Jun,3,ENT0539,True
ENT0196,Entity_196,US,EUR,Sep,1,ENT0987,True
ENT0197,Entity_197,GB,EUR,Mar,1,,True
ENT0198,Entity_198,US,JPY,Sep,4,ENT0031,True
ENT0199,Entity_199,GB,USD,Jun,4,ENT0127,True
ENT0200,Entity_200,JP,EUR,Dec,2,ENT0081,True
ENT0201,Entity_201,GB,USD,Mar,4,ENT0724,True
ENT0202,Entity_202,JP,EUR,Dec,4,ENT0927,True
ENT0203,Entity_203,DE,JPY,Dec,4,ENT0203,True
ENT0204,Entity_204,FR,EUR,Mar,1,ENT0525,True
ENT0205,Entity_205,DE,EUR,Mar,2,,True
ENT0206,Entity_206,GB,JPY,Sep,3,ENT0870,True
ENT0207,Entity_207,FR,EUR,Dec,4,,True
ENT0208,Entity_208,JP,EUR,Sep,4,ENT0751,True
ENT0209,Entity_209,GB,USD,Dec,2,ENT0649,False
ENT0210,Entity_210,FR,JPY,Dec,1,,True
ENT0211,Entity_211,GB,USD,Jun,4,ENT0705,True
ENT0212,Entity_212,FR,EUR,Sep,2,,True
ENT0213,Entity_213,FR,EUR,Jun,2,,True
ENT0214,Entity_214,DE,JPY,Dec,4,ENT0704,True
ENT0215,Entity_215,FR,USD,Dec,3,ENT0084,True
ENT0216,Entity_216,GB,USD,Mar,2,,True
ENT0217,Entity_217,US,EUR,Mar,1,ENT0200,True
ENT0218,Entity_218,US,EUR,Sep,2,ENT0587,True
ENT0219,Entity_219,DE,JPY,Mar,4,ENT0611,False
ENT0220,Entity_220,JP,EUR,Dec,2,,True
ENT0221,Entity_221,US,EUR,Sep,3,,True
ENT0222,Entity_222,DE,EUR,Dec,2,ENT0617,True
ENT0223,Entity_223,FR,JPY,Dec,4,,True
ENT0224,Entity_224,GB,EUR,Mar,4,ENT0044,True
ENT0225,Entity_225,FR,GBP,Mar,3,ENT0314,True
ENT0226,Entity_226,GB,JPY,Jun,4,ENT0757,False
ENT0227,Entity_227,JP,USD,Sep,3,ENT0873,True
ENT0228,Entity_228,DE,JPY,Sep,2,ENT0437,True
ENT0229,Entity_229,DE,USD,Mar,3,ENT0561,True
ENT0230,Entity_230,US,GBP,Sep,4,ENT0230,True
ENT0231,Entity_231,DE,JPY,Jun,4,ENT0618,True
ENT0232,Entity_232,JP,EUR,Dec,1,,True
ENT0233,Entity_233,US,JPY,Sep,3,ENT0996,True
ENT0234,Entity_234,FR,EUR,Dec,1,,True
ENT0235,Entity_235,DE,EUR,Jun,3,ENT0148,True
ENT0236,Entity_236,FR,GBP,Sep,3,ENT0236,True
ENT0237,Entity_237,FR,USD,Dec,2,ENT0288,True
ENT0238,Entity_238,DE,USD,Mar,4,ENT0616,True
ENT0239,Entity_239,GB,GBP,Mar,4,,True
ENT0240,Entity_240,FR,USD,Sep,1,,True
ENT0241,Entity_241,US,EUR,Dec,1,ENT0920,True
ENT0242,Entity_242,DE,EUR,Jun,1,,True
ENT0243,Entity_243,US,JPY,Mar,4,,True
ENT0244,Entity_244,FR,EUR,Dec,3,ENT0332,True
ENT0245,Entity_245,FR,JPY,Jun,3,,True
ENT0246,Entity_246,US,EUR,Sep,4,ENT0209,True
ENT0247,Entity_247,FR,JPY,Jun,4,ENT0833,True
ENT0248,Entity_248,DE,EUR,Dec,1,ENT0581,True
ENT0249,Entity_249,FR,GBP,Dec,1,ENT0308,True
ENT0250,Entity_250,US,JPY,Mar,2,ENT0139,True
ENT0251,Entity_251,US,GBP,Jun,2,ENT0211,True
ENT0252,Entity_252,DE,EUR,Jun,3,ENT0869,True
ENT0253,Entity_253,US,USD,Dec,1,ENT0654,True
ENT0254,Entity_254,GB,EUR,Jun,2,,True
ENT0255,Entity_255,FR,EUR,Mar,1,,True
ENT0256,Entity_256,US,USD,Jun,1,ENT0070,True
ENT0257,Entity_257,FR,GBP,Sep,1,,False
ENT0258,Entity_258,US,EUR,Jun,1,ENT0002,True
ENT0259,Entity_259,US,EUR,Dec,3,ENT0067,True
ENT0260,Entity_260,DE,JPY,Sep,2,ENT0076,False
ENT0261,Entity_261,FR,GBP,Dec,2,,True
ENT0262,Entity_262,US,JPY,Sep,2,,True
ENT0263,Entity_263,GB,EUR,Dec,3,ENT0089,True
ENT0264,Entity_264,JP,JPY,Jun,4,,True
ENT0265,Entity_265,JP,GBP,Dec,3,ENT0768,True
ENT0266,Entity_266,DE,USD,Dec,3,ENT0427,False
ENT0267,Entity_267,DE,USD,Jun,3,ENT0029,True
ENT0268,Entity_268,GB,GBP,Jun,3,ENT0501,True
ENT0269,Entity_269,FR,GBP,Dec,1,,True
ENT0270,Entity_270,DE,USD,Sep,4,ENT0946,True
ENT0271,Entity_271,GB,GBP,Mar,1,ENT0052,True
ENT0272,Entity_272,US,USD,Mar,2,ENT0113,True
ENT0273,Entity_273,US,JPY,Mar,3,ENT0273,True
ENT0274,Entity_274,JP,EUR,Mar,2,,True
ENT0275,Entity_275,DE,EUR,Dec,1,ENT0062,True
ENT0276,Entity_276,DE,EUR,Mar,4,ENT0367,True
ENT0277,Entity_277,DE,EUR,Dec,1,ENT0428,True
ENT0278,Entity_278,FR,EUR,Dec,1,ENT0327,True
ENT0279,Entity_279,US,USD,Mar,4,,True
ENT0280,Entity_280,US,JPY,Jun,3,ENT0041,True
ENT0281,Entity_281,GB,EUR,Sep,1,ENT0150,False
ENT0282,Entity_282,DE,EUR,Mar,4,ENT0575,True
ENT0283,Entity_283,FR,GBP,Mar,4,ENT0134,True
ENT0284,Entity_284,DE,JPY,Sep,1,ENT0098,True
ENT0285,Entity_285,DE,GBP,Jun,2,,True
ENT0286,Entity_286,JP,USD,Sep,2,,True
ENT0287,Entity_287,US,JPY,Sep,1,,True
ENT0288,Entity_288,DE,GBP,Sep,1,ENT0238,True
ENT0289,Entity_289,DE,JPY,Sep,1,ENT0270,True
ENT0290,Entity_290,DE,JPY,Mar,1,ENT0045,True
ENT0291,Entity_291,JP,GBP,Mar,2,,True
ENT0292,Entity_292,GB,JPY,Mar,2,ENT0344,True
ENT0293,Entity_293,JP,EUR,Dec,1,ENT0757,False
ENT0294,Entity_294,GB,USD,Jun,2,ENT0294,True
ENT0295,Entity_295,DE,JPY,Jun,1,ENT0198,True
ENT0296,Entity_296,DE,EUR,Sep,4,,True
ENT0297,Entity_297,JP,USD,Dec,1,,True
ENT0298,Entity_298,DE,EUR,Mar,4,,True
ENT0299,Entity_299,GB,EUR,Dec,3,ENT0992,True
ENT0300,Entity_300,US,USD,Sep,4,ENT0222,True
ENT0301,Entity_301,GB,EUR,Mar,3,ENT0793,True
ENT0302,Entity_302,JP,EUR,Dec,2,ENT0390,True
ENT0303,Entity_303,US,EUR,Jun,3,,True
ENT0304,Entity_304,JP,JPY,Sep,2,ENT0806,True
ENT0305,Entity_305,DE,EUR,Sep,1,,True
ENT0306,Entity_306,US,EUR,Dec,2,ENT0535,True
ENT0307,Entity_307,GB,GBP,Mar,2,ENT0932,True
ENT0308,Entity_308,DE,JPY,Dec,1,ENT0500,True
ENT0309,Entity_309,GB,EUR,Mar,1,ENT0417,True
ENT0310,Entity_310,US,EUR,Jun,4,ENT0349,True
ENT0311,Entity_311,FR,EUR,Mar,3,,True
ENT0312,Entity_312,FR,GBP,Dec,2,ENT0108,True
ENT0313,Entity_313,US,EUR,Jun,4,,True
ENT0314,Entity_314,GB,JPY,Dec,1,ENT0764,True
ENT0315,Entity_315,GB,JPY,Dec,2,ENT0315,True
ENT0316,Entity_316,FR,GBP,Dec,4,ENT0124,True
ENT0317,Entity_317,FR,EUR,Dec,3,,True
ENT0318,Entity_318,FR,EUR,Mar,2,ENT0929,True
ENT0319,Entity_319,JP,EUR,Sep,2,,True
ENT0320,Entity_320,FR,GBP,Sep,1,ENT0726,True
ENT0321,Entity_321,GB,USD,Dec,1,ENT0263,True
ENT0322,Entity_322,US,GBP,Dec,1,ENT0758,True
ENT0323,Entity_323,FR,EUR,Mar,4,ENT0880,True
ENT0324,Entity_324,JP,JPY,Jun,3,ENT0587,True
ENT0325,Entity_325,JP,JPY,Jun,2,ENT0191,True
ENT0326,Entity_326,GB,USD,Sep,4,ENT0957,True
ENT0327,Entity_327,GB,EUR,Mar,1,ENT0413,True
ENT0328,Entity_328,US,USD,Dec,1,ENT0438,True
ENT0329,Entity_329,US,EUR,Dec,2,ENT0499,True
ENT0330,Entity_330,DE,GBP,Dec,4,,True
ENT0331,Entity_331,DE,EUR,Dec,3,ENT0161,True
ENT0332,Entity_332,GB,EUR,Sep,4,ENT0839,True
ENT0333,Entity_333,GB,EUR,Mar,1,,True
ENT0334,Entity_334,JP,USD,Sep,4,ENT0572,True
ENT0335,Entity_335,DE,EUR,Jun,1,ENT0757,True
ENT0336,Entity_336,JP,JPY,Jun,1,ENT0586,True
ENT0337,Entity_337,JP,EUR,Mar,3,ENT0190,True
ENT0338,Entity_338,GB,GBP,Sep,1,ENT0642,True
ENT0339,Entity_339,GB,EUR,Dec,4,ENT0947,True
ENT0340,Entity_340,JP,EUR,Dec,4,ENT0538,True
ENT0341,Entity_341,FR,EUR,Mar,3,,True
ENT0342,Entity_342,GB,USD,Mar,2,,True
ENT0343,Entity_343,FR,USD,Jun,1,ENT0977,True
ENT0344,Entity_344,DE,EUR,Jun,3,ENT0344,True
ENT0345,Entity_345,JP,USD,Jun,3,,True
ENT0346,Entity_346,GB,JPY,Mar,4,ENT0183,True
ENT0347,Entity_347,JP,JPY,Mar,3,ENT0222,True
ENT0348,Entity_348,JP,EUR,Sep,1,ENT0380,True
ENT0349,Entity_349,US,EUR,Dec,1,ENT0594,False
ENT0350,Entity_350,US,EUR,Jun,4,ENT0728,True
ENT0351,Entity_351,DE,USD,Jun,1,ENT0351,True
ENT0352,Entity_352,US,GBP,Sep,4,ENT0370,True
ENT0353,Entity_353,GB,EUR,Jun,1,ENT0520,True
ENT0354,Entity_354,DE,JPY,Mar,3,,True
ENT0355,Entity_355,JP,GBP,Mar,4,,True
ENT0356,Entity_356,JP,EUR,Mar,2,,True
ENT0357,Entity_357,US,EUR,Mar,1,ENT0919,True
ENT0358,Entity_358,JP,USD,Dec,4,ENT0945,True
ENT0359,Entity_359,US,USD,Jun,1,,True
ENT0360,Entity_360,FR,GBP,Dec,3,,True
ENT0361,Entity_361,JP,USD,Jun,4,ENT0038,True
ENT0362,Entity_362,JP,USD,Sep,3,ENT0816,True
ENT0363,Entity_363,GB,GBP,Sep,1,ENT0802,True
ENT0364,Entity_364,JP,GBP,Dec,4,,True
ENT0365,Entity_365,US,EUR,Sep,1,ENT0365,True
ENT0366,Entity_366,DE,USD,Dec,3,ENT0188,True
ENT0367,Entity_367,DE,GBP,Mar,3,,True
ENT0368,Entity_368,GB,EUR,Dec,2,ENT0403,True
ENT0369,Entity_369,US,JPY,Dec,2,ENT0649,True
ENT0370,Entity_370,FR,EUR,Dec,1,ENT0523,True
ENT0371,Entity_371,GB,JPY,Dec,4,,True
ENT0372,Entity_372,FR,GBP,Sep,1,ENT0679,True
ENT0373,Entity_373,DE,EUR,Dec,2,,True
ENT0374,Entity_374,GB,EUR,Mar,3,ENT0499,False
ENT0375,Entity_375,JP,JPY,Jun,3,ENT0498,True
ENT0376,Entity_376,US,JPY,Sep,3,,True
ENT0377,Entity_377,FR,JPY,Sep,3,,True
ENT0378,Entity_378,FR,EUR,Dec,3,ENT0830,True
ENT0379,Entity_379,GB,EUR,Sep,4,ENT0057,True
ENT0380,Entity_380,GB,EUR,Jun,2,ENT0533,False
ENT0381,Entity_381,US,JPY,Dec,4,ENT0683,True
ENT0382,Entity_382,JP,GBP,Mar,4,,True
ENT0383,Entity_383,JP,GBP,Sep,4,,True
ENT0384,Entity_384,GB,JPY,Mar,4,,True
ENT0385,Entity_385,US,GBP,Dec,4,ENT0420,True
ENT0386,Entity_386,US,EUR,Sep,1,,True
ENT0387,Entity_387,US,EUR,Sep,4,,True
ENT0388,Entity_388,JP,GBP,Sep,3,ENT0995,False
ENT0389,Entity_389,JP,JPY,Sep,2,,True
ENT0390,Entity_390,US,JPY,Sep,3,ENT0216,True
ENT0391,Entity_391,FR,GBP,Mar,2,ENT0772,True
ENT0392,Entity_392,US,EUR,Dec,3,ENT0627,False
ENT0393,Entity_393,GB,JPY,Jun,4,,True
ENT0394,Entity_394,DE,EUR,Dec,1,ENT0050,True
ENT0395,Entity_395,FR,GBP,Mar,2,ENT0903,True
ENT0396,Entity_396,JP,EUR,Jun,4,ENT0539,True
ENT0397,Entity_397,US,EUR,Sep,2,ENT0621,False
ENT0398,Entity_398,US,EUR,Mar,4,ENT0398,True
ENT0399,Entity_399,GB,USD,Mar,1,ENT0017,True
ENT0400,Entity_400,GB,GBP,Jun,3,ENT0175,True
ENT0401,Entity_401,JP,USD,Dec,4,ENT0782,True
ENT0402,Entity_402,FR,GBP,Jun,4,,True
ENT0403,Entity_403,GB,GBP,Jun,1,ENT0403,True
ENT0404,Entity_404,JP,GBP,Jun,4,ENT0508,True
ENT0405,Entity_405,DE,USD,Mar,2,ENT0831,True
ENT0406,Entity_406,DE,USD,Sep,2,ENT0250,True
ENT0407,Entity_407,DE,GBP,Mar,2,ENT0047,True
ENT0408,Entity_408,US,EUR,Jun,3,,True
ENT0409,Entity_409,JP,USD,Mar,3,ENT0970,True
ENT0410,Entity_410,US,GBP,Dec,2,,True
ENT0411,Entity_411,US,USD,Jun,1,ENT0243,True
ENT0412,Entity_412,GB,EUR,Dec,4,ENT0500,True
ENT0413,Entity_413,GB,USD,Sep,1,ENT0326,True
ENT0414,Entity_414,US,EUR,Jun,1,ENT0286,True
ENT0415,Entity_415,US,EUR,Mar,3,,True
ENT0416,Entity_416,FR,EUR,Mar,2,,True
ENT0417,Entity_417,JP,EUR,Jun,3,ENT0873,True
ENT0418,Entity_418,US,EUR,Mar,4,ENT0031,True
ENT0419,Entity_419,GB,JPY,Mar,1,ENT0116,True
ENT0420,Entity_420,DE,EUR,Mar,2,ENT0747,False
ENT0421,Entity_421,JP,JPY,Mar,3,ENT0421,True
ENT0422,Entity_422,FR,JPY,Sep,4,,False
ENT0423,Entity_423,FR,EUR,Dec,3,,True
ENT0424,Entity_424,DE,EUR,Sep,2,ENT0397,True
ENT0425,Entity_425,DE,GBP,Mar,3,ENT0378,True
ENT0426,Entity_426,US,JPY,Jun,4,ENT0016,True
ENT0427,Entity_427,JP,EUR,Dec,2,ENT0476,True
ENT0428,Entity_428,JP,JPY,Mar,4,ENT0827,True
ENT0429,Entity_429,US,GBP,Sep,4,ENT0262,True
ENT0430,Entity_430,FR,EUR,Mar,2,ENT0697,True
ENT0431,Entity_431,US,EUR,Dec,1,,True
ENT0432,Entity_432,FR,USD,Jun,4,ENT0381,False
ENT0433,Entity_433,JP,USD,Dec,1,ENT0027,False
ENT0434,Entity_434,US,EUR,Mar,2,,True
ENT0435,Entity_435,DE,GBP,Mar,1,,True
ENT0436,Entity_436,US,USD,Jun,3,,True
ENT0437,Entity_437,DE,JPY,Jun,2,ENT0868,True
ENT0438,Entity_438,JP,EUR,Jun,3,,True
ENT0439,Entity_439,US,GBP,Sep,4,ENT0335,True
ENT0440,Entity_440,GB,JPY,Dec,4,ENT0855,True
ENT0441,Entity_441,JP,USD,Mar,4,ENT0768,False
ENT0442,Entity_442,GB,EUR,Dec,1,ENT0864,True
ENT0443,Entity_443,US,JPY,Dec,2,,True
ENT0444,Entity_444,DE,EUR,Dec,1,ENT0125,False
ENT0445,Entity_445,DE,USD,Jun,4,,True
ENT0446,Entity_446,FR,GBP,Sep,3,ENT0937,True
ENT0447,Entity_447,GB,JPY,Sep,2,ENT0447,False
