mapping_id,source_account,target_account,source_type,target_type,confidence,mapping_method,is_validated
86,SRC_Account_86,TGT_Account_86,Revenue,Revenue,0.705,manual,False
87,SRC_Account_87,TGT_Account_87,Asset,Revenue,0.742,semantic,True
88,SRC_Account_88,TGT_Account_88,Liability,Asset,0.74,semantic,True
89,SRC_Account_89,TGT_Account_89,Revenue,Liability,0.887,exact,True
90,SRC_Account_90,TGT_Account_90,Expense,Asset,0.787,exact,False
91,SRC_Account_91,TGT_Account_91,Equity,Expense,0.745,exact,True
92,SRC_Account_92,TGT_Account_92,Expense,Liability,0.941,rule_based,True
93,SRC_Account_93,TGT_Account_93,Expense,Expense,,rule_based,True
94,SRC_Account_94,TGT_Account_94,Liability,Asset,0.686,exact,True
95,SRC_Account_95,TGT_Account_95,Expense,Asset,0.96,exact,False
96,SRC_Account_96,TGT_Account_96,Liability,Revenue,0.737,exact,True
97,SRC_Account_97,TGT_Account_97,Liability,Expense,0.616,semantic,True
98,SRC_Account_98,TGT_Account_98,Revenue,Expense,0.798,semantic,True
99,SRC_Account_99,TGT_Account_99,Revenue,Revenue,0.65,semantic,True
100,SRC_Account_100,TGT_Account_100,Asset,Liability,,manual,True
101,SRC_Account_101,TGT_Account_101,Expense,Expense,0.899,exact,True
102,SRC_Account_102,TGT_Account_102,Asset,Revenue,0.652,semantic,True
103,SRC_Account_103,TGT_Account_103,Expense,Asset,0.923,semantic,False
104,SRC_Account_104,TGT_Account_104,Asset,Asset,0.975,exact,False
105,SRC_Account_105,TGT_Account_105,Revenue,Expense,0.843,manual,True
106,SRC_Account_106,TGT_Account_106,Revenue,Liability,0.884,exact,False
107,SRC_Account_107,TGT_Account_107,Revenue,Revenue,0.885,rule_based,False
108,SRC_Account_108,TGT_Account_108,Revenue,Asset,0.997,rule_based,True
109,SRC_Account_109,TGT_Account_109,Equity,Liability,0.737,manual,True
110,SRC_Account_110,TGT_Account_110,Revenue,Liability,0.665,semantic,True
111,SRC_Account_111,TGT_Account_111,Liability,Liability,0.808,exact,True
112,SRC_Account_112,TGT_Account_112,Revenue,Revenue,0.813,rule_based,True
113,SRC_Account_113,TGT_Account_113,Equity,Expense,0.671,rule_based,True
114,SRC_Account_114,TGT_Account_114,Equity,Expense,0.845,semantic,False
115,SRC_Account_115,TGT_Account_115,Equity,Revenue,0.606,rule_based,True
116,SRC_Account_116,TGT_Account_116,Equity,Liability,0.971,exact,False
117,SRC_Account_117,TGT_Account_117,Asset,Expense,0.706,semantic,True
118,SRC_Account_118,TGT_Account_118,Asset,Equity,,rule_based,True
119,SRC_Account_119,TGT_Account_119,Liability,Equity,0.643,exact,False
120,SRC_Account_120,TGT_Account_120,Asset,Revenue,0.696,semantic,True
121,SRC_Account_121,TGT_Account_121,Equity,Revenue,0.71,manual,True
122,SRC_Account_122,TGT_Account_122,Revenue,Expense,0.613,rule_based,True
123,SRC_Account_123,TGT_Account_123,Revenue,Expense,0.712,rule_based,True
124,SRC_Account_124,TGT_Account_124,Equity,Revenue,0.677,exact,True
125,SRC_Account_125,TGT_Account_125,Expense,Revenue,0.751,manual,True
126,SRC_Account_126,TGT_Account_126,Equity,Liability,,exact,True
127,SRC_Account_127,TGT_Account_127,Asset,Liability,0.736,semantic,True
128,SRC_Account_128,TGT_Account_128,Revenue,Revenue,0.731,semantic,True
129,SRC_Account_129,TGT_Account_129,Equity,Asset,0.636,rule_based,True
130,SRC_Account_130,TGT_Account_130,Revenue,Liability,0.61,manual,True
131,SRC_Account_131,TGT_Account_131,Equity,Asset,0.681,rule_based,True
132,SRC_Account_132,TGT_Account_132,Equity,Expense,0.903,semantic,True
133,SRC_Account_133,TGT_Account_133,Asset,Equity,0.996,semantic,False
134,SRC_Account_134,TGT_Account_134,Equity,Liability,0.971,semantic,True
135,SRC_Account_135,TGT_Account_135,Revenue,Equity,0.802,semantic,True
136,SRC_Account_136,TGT_Account_136,Liability,Revenue,0.813,exact,True
137,SRC_Account_137,TGT_Account_137,Revenue,Equity,0.726,semantic,False
138,SRC_Account_138,TGT_Account_138,Asset,Asset,0.91,rule_based,True
139,SRC_Account_139,TGT_Account_139,Liability,Equity,0.906,rule_based,True
140,SRC_Account_140,TGT_Account_140,Equity,Equity,0.938,rule_based,True
141,SRC_Account_141,TGT_Account_141,Expense,Revenue,0.958,exact,True
142,SRC_Account_142,TGT_Account_142,Liability,Expense,0.774,semantic,True
143,SRC_Account_143,TGT_Account_143,Liability,Expense,0.907,exact,True
144,SRC_Account_144,TGT_Account_144,Equity,Asset,0.923,exact,True
145,SRC_Account_145,TGT_Account_145,Expense,Liability,0.723,semantic,True
146,SRC_Account_146,TGT_Account_146,Expense,Equity,0.972,exact,True
147,SRC_Account_147,TGT_Account_147,Asset,Expense,0.638,exact,False
148,SRC_Account_148,TGT_Account_148,Liability,Expense,0.998,semantic,True
149,SRC_Account_149,TGT_Account_149,Expense,Asset,0.908,semantic,False
150,SRC_Account_150,TGT_Account_150,Asset,Expense,0.637,semantic,False
151,SRC_Account_151,TGT_Account_151,Expense,Liability,0.862,exact,False
152,SRC_Account_152,TGT_Account_152,Liability,Liability,,semantic,False
153,SRC_Account_153,TGT_Account_153,Expense,Expense,0.908,semantic,True
154,SRC_Account_154,TGT_Account_154,Liability,Equity,0.92,semantic,True
155,SRC_Account_155,TGT_Account_155,Equity,Revenue,0.841,semantic,True
156,SRC_Account_156,TGT_Account_156,Revenue,Equity,0.943,exact,True
157,SRC_Account_157,TGT_Account_157,Asset,Equity,0.639,manual,True
158,SRC_Account_158,TGT_Account_158,Equity,Revenue,0.71,exact,True
159,SRC_Account_159,TGT_Account_159,Equity,Expense,0.766,semantic,True
160,SRC_Account_160,TGT_Account_160,Revenue,Liability,0.617,exact,False
161,SRC_Account_161,TGT_Account_161,Expense,Expense,0.779,semantic,True
162,SRC_Account_162,TGT_Account_162,Revenue,Asset,0.706,exact,True
163,SRC_Account_163,TGT_Account_163,Equity,Equity,0.757,rule_based,True
164,SRC_Account_164,TGT_Account_164,Equity,Expense,0.77,exact,True
165,SRC_Account_165,TGT_Account_165,Equity,Expense,0.952,semantic,False
166,SRC_Account_166,TGT_Account_166,Expense,Expense,0.708,exact,True
167,SRC_Account_167,TGT_Account_167,Liability,Liability,0.957,exact,True
168,SRC_Account_168,TGT_Account_168,Asset,Expense,0.77,semantic,True
169,SRC_Account_169,TGT_Account_169,Liability,Expense,0.731,semantic,True
170,SRC_Account_170,TGT_Account_170,Asset,Expense,0.801,semantic,True
171,SRC_Account_171,TGT_Account_171,Asset,Asset,0.767,manual,False
172,SRC_Account_172,TGT_Account_172,Asset,Revenue,0.703,rule_based,True
173,SRC_Account_173,TGT_Account_173,Revenue,Expense,0.801,manual,True
174,SRC_Account_174,TGT_Account_174,Revenue,Revenue,,exact,True
175,SRC_Account_175,TGT_Account_175,Revenue,Liability,0.741,rule_based,True
176,SRC_Account_176,TGT_Account_176,Equity,Revenue,0.826,semantic,False
177,SRC_Account_177,TGT_Account_177,Revenue,Equity,0.765,semantic,False
178,SRC_Account_178,TGT_Account_178,Asset,Equity,0.93,manual,True
179,SRC_Account_179,TGT_Account_179,Expense,Revenue,0.703,semantic,True
180,SRC_Account_180,TGT_Account_180,Equity,Equity,0.988,rule_based,True
181,SRC_Account_181,TGT_Account_181,Expense,Revenue,0.914,rule_based,True
182,SRC_Account_182,TGT_Account_182,Asset,Liability,0.987,exact,True
183,SRC_Account_183,TGT_Account_183,Equity,Revenue,0.935,semantic,False
184,SRC_Account_184,TGT_Account_184,Revenue,Revenue,0.657,semantic,True
185,SRC_Account_185,TGT_Account_185,Equity,Revenue,0.811,manual,True
186,SRC_Account_186,TGT_Account_186,Equity,Expense,0.668,rule_based,False
187,SRC_Account_187,TGT_Account_187,Asset,Liability,0.927,exact,False
188,SRC_Account_188,TGT_Account_188,Liability,Liability,0.834,exact,True
189,SRC_Account_189,TGT_Account_189,Liability,Equity,0.705,exact,True
190,SRC_Account_190,TGT_Account_190,Liability,Equity,0.972,semantic,True
191,SRC_Account_191,TGT_Account_191,Revenue,Liability,0.646,exact,False
192,SRC_Account_192,TGT_Account_192,Revenue,Liability,0.826,rule_based,True
193,SRC_Account_193,TGT_Account_193,Revenue,Liability,0.888,semantic,True
194,SRC_Account_194,TGT_Account_194,Liability,Liability,0.624,rule_based,True
195,SRC_Account_195,TGT_Account_195,Expense,Revenue,0.839,exact,True
196,SRC_Account_196,TGT_Account_196,Asset,Expense,0.926,semantic,True
197,SRC_Account_197,TGT_Account_197,Liability,Liability,0.627,exact,False
198,SRC_Account_198,TGT_Account_198,Asset,Expense,0.805,rule_based,True
199,SRC_Account_199,TGT_Account_199,Liability,Revenue,0.703,exact,True
200,SRC_Account_200,TGT_Account_200,Expense,Asset,0.865,exact,False
201,SRC_Account_201,TGT_Account_201,Liability,Liability,0.647,exact,True
202,SRC_Account_202,TGT_Account_202,Expense,Asset,0.975,rule_based,True
203,SRC_Account_203,TGT_Account_203,Equity,Asset,0.958,exact,True
204,SRC_Account_204,TGT_Account_204,Revenue,Liability,0.674,semantic,True
205,SRC_Account_205,TGT_Account_205,Equity,Equity,,rule_based,True
206,SRC_Account_206,TGT_Account_206,Liability,Revenue,0.835,rule_based,True
207,SRC_Account_207,TGT_Account_207,Revenue,Asset,0.887,exact,True
208,SRC_Account_208,TGT_Account_208,Expense,Expense,0.777,exact,True
209,SRC_Account_209,TGT_Account_209,Liability,Liability,0.663,semantic,True
210,SRC_Account_210,TGT_Account_210,Revenue,Asset,0.642,exact,False
211,SRC_Account_211,TGT_Account_211,Liability,Revenue,1.0,semantic,True
212,SRC_Account_212,TGT_Account_212,Revenue,Revenue,0.782,exact,False
213,SRC_Account_213,TGT_Account_213,Revenue,Revenue,0.949,semantic,True
214,SRC_Account_214,TGT_Account_214,Equity,Asset,0.793,exact,True
215,SRC_Account_215,TGT_Account_215,Revenue,Asset,0.969,semantic,True
216,SRC_Account_216,TGT_Account_216,Liability,Liability,0.635,exact,True
217,SRC_Account_217,TGT_Account_217,Asset,Equity,0.646,semantic,True
218,SRC_Account_218,TGT_Account_218,Asset,Expense,0.972,exact,True
219,SRC_Account_219,TGT_Account_219,Equity,Liability,0.979,manual,True
220,SRC_Account_220,TGT_Account_220,Expense,Asset,0.726,semantic,True
221,SRC_Account_221,TGT_Account_221,Asset,Expense,0.742,exact,True
222,SRC_Account_222,TGT_Account_222,Equity,Asset,0.781,exact,True
223,SRC_Account_223,TGT_Account_223,Revenue,Asset,0.766,exact,True
224,SRC_Account_224,TGT_Account_224,Liability,Equity,0.676,exact,True
225,SRC_Account_225,TGT_Account_225,Revenue,Equity,0.959,exact,True
226,SRC_Account_226,TGT_Account_226,Liability,Revenue,0.701,rule_based,True
227,SRC_Account_227,TGT_Account_227,Expense,Expense,0.882,semantic,True
228,SRC_Account_228,TGT_Account_228,Equity,Expense,0.627,exact,True
229,SRC_Account_229,TGT_Account_229,Equity,Liability,0.616,semantic,True
230,SRC_Account_230,TGT_Account_230,Asset,Expense,,exact,True
231,SRC_Account_231,TGT_Account_231,Equity,Asset,0.736,manual,False
232,SRC_Account_232,TGT_Account_232,Expense,Asset,0.862,exact,True
233,SRC_Account_233,TGT_Account_233,Asset,Expense,0.638,rule_based,False
234,SRC_Account_234,TGT_Account_234,Revenue,Liability,0.98,rule_based,True
235,SRC_Account_235,TGT_Account_235,Equity,Equity,0.899,exact,True
236,SRC_Account_236,TGT_Account_236,Revenue,Liability,0.951,exact,True
237,SRC_Account_237,TGT_Account_237,Revenue,Liability,0.655,exact,True
238,SRC_Account_238,TGT_Account_238,Equity,Liability,0.728,rule_based,True
239,SRC_Account_239,TGT_Account_239,Liability,Equity,0.747,semantic,False
240,SRC_Account_240,TGT_Account_240,Revenue,Expense,0.815,semantic,True
241,SRC_Account_241,TGT_Account_241,Asset,Liability,0.719,rule_based,True
242,SRC_Account_242,TGT_Account_242,Equity,Revenue,0.624,rule_based,True
243,SRC_Account_243,TGT_Account_243,Asset,Equity,0.748,semantic,True
244,SRC_Account_244,TGT_Account_244,Revenue,Asset,0.702,semantic,False
245,SRC_Account_245,TGT_Account_245,Revenue,Liability,0.754,rule_based,True
246,SRC_Account_246,TGT_Account_246,Asset,Expense,0.679,exact,True
247,SRC_Account_247,TGT_Account_247,Revenue,Equity,0.705,rule_based,False
248,SRC_Account_248,TGT_Account_248,Equity,Asset,0.851,exact,False
249,SRC_Account_249,TGT_Account_249,Revenue,Asset,0.755,exact,True
250,SRC_Account_250,TGT_Account_250,Asset,Equity,0.738,rule_based,True
251,SRC_Account_251,TGT_Account_251,Asset,Equity,0.814,exact,False
252,SRC_Account_252,TGT_Account_252,Equity,Equity,0.909,exact,True
253,SRC_Account_253,TGT_Account_253,Asset,Liability,0.752,exact,True
254,SRC_Account_254,TGT_Account_254,Liability,Expense,0.835,semantic,True
255,SRC_Account_255,TGT_Account_255,Revenue,Liability,0.986,rule_based,False
256,SRC_Account_256,TGT_Account_256,Asset,Revenue,0.809,exact,False
257,SRC_Account_257,TGT_Account_257,Revenue,Revenue,0.964,exact,True
258,SRC_Account_258,TGT_Account_258,Asset,Revenue,0.917,semantic,True
259,SRC_Account_259,TGT_Account_259,Asset,Asset,0.623,manual,True
260,SRC_Account_260,TGT_Account_260,Equity,Expense,0.772,exact,True
261,SRC_Account_261,TGT_Account_261,Revenue,Asset,0.879,manual,False
262,SRC_Account_262,TGT_Account_262,Asset,Expense,0.995,rule_based,True
263,SRC_Account_263,TGT_Account_263,Liability,Asset,0.783,exact,True
264,SRC_Account_264,TGT_Account_264,Expense,Equity,0.637,rule_based,False
265,SRC_Account_265,TGT_Account_265,Expense,Asset,0.825,semantic,True
266,SRC_Account_266,TGT_Account_266,Equity,Asset,0.651,semantic,False
267,SRC_Account_267,TGT_Account_267,Equity,Revenue,0.901,semantic,True
268,SRC_Account_268,TGT_Account_268,Liability,Revenue,0.803,rule_based,False
269,SRC_Account_269,TGT_Account_269,Revenue,Asset,0.889,rule_based,True
270,SRC_Account_270,TGT_Account_270,Equity,Expense,0.948,rule_based,True
271,SRC_Account_271,TGT_Account_271,Liability,Asset,0.852,manual,True
272,SRC_Account_272,TGT_Account_272,Asset,Liability,0.845,semantic,True
273,SRC_Account_273,TGT_Account_273,Asset,Liability,0.902,rule_based,True
274,SRC_Account_274,TGT_Account_274,Expense,Equity,0.937,rule_based,True
275,SRC_Account_275,TGT_Account_275,Equity,Asset,0.948,exact,True
276,SRC_Account_276,TGT_Account_276,Equity,Equity,0.615,exact,False
277,SRC_Account_277,TGT_Account_277,Equity,Revenue,0.822,semantic,True
278,SRC_Account_278,TGT_Account_278,Revenue,Asset,0.687,rule_based,True
279,SRC_Account_279,TGT_Account_279,Asset,Liability,0.944,exact,False
280,SRC_Account_280,TGT_Account_280,Asset,Revenue,0.859,rule_based,True
281,SRC_Account_281,TGT_Account_281,Liability,Revenue,0.768,exact,False
282,SRC_Account_282,TGT_Account_282,Equity,Liability,0.675,exact,True
283,SRC_Account_283,TGT_Account_283,Revenue,Liability,0.736,semantic,True
284,SRC_Account_284,TGT_Account_284,Equity,Revenue,0.882,exact,True
285,SRC_Account_285,TGT_Account_285,Equity,Expense,0.682,rule_based,False
286,SRC_Account_286,TGT_Account_286,Expense,Expense,0.637,exact,True
287,SRC_Account_287,TGT_Account_287,Asset,Equity,,manual,True
288,SRC_Account_288,TGT_Account_288,Equity,Expense,0.906,exact,False
289,SRC_Account_289,TGT_Account_289,Equity,Expense,0.68,manual,True
290,SRC_Account_290,TGT_Account_290,Equity,Equity,0.717,semantic,False
291,SRC_Account_291,TGT_Account_291,Expense,Liability,0.989,exact,False
292,SRC_Account_292,TGT_Account_292,Liability,Liability,,exact,False
293,SRC_Account_293,TGT_Account_293,Expense,Liability,0.844,exact,False
294,SRC_Account_294,TGT_Account_294,Liability,Revenue,0.723,semantic,False
295,SRC_Account_295,TGT_Account_295,Equity,Revenue,0.72,rule_based,True
296,SRC_Account_296,TGT_Account_296,Equity,Expense,0.616,semantic,False
297,SRC_Account_297,TGT_Account_297,Expense,Asset,0.891,semantic,False
298,SRC_Account_298,TGT_Account_298,Equity,Equity,0.617,semantic,True
299,SRC_Account_299,TGT_Account_299,Liability,Liability,0.602,semantic,True
300,SRC_Account_300,TGT_Account_300,Asset,Expense,0.892,semantic,False
301,SRC_Account_301,TGT_Account_301,Liability,Liability,0.98,semantic,True
302,SRC_Account_302,TGT_Account_302,Expense,Asset,,rule_based,True
303,SRC_Account_303,TGT_Account_303,Asset,Equity,0.789,manual,True
304,SRC_Account_304,TGT_Account_304,Expense,Asset,0.794,exact,True
305,SRC_Account_305,TGT_Account_305,Equity,Expense,0.774,exact,False
306,SRC_Account_306,TGT_Account_306,Asset,Asset,0.73,exact,True
307,SRC_Account_307,TGT_Account_307,Liability,Liability,0.809,semantic,True
308,SRC_Account_308,TGT_Account_308,Equity,Asset,0.772,exact,False
309,SRC_Account_309,TGT_Account_309,Liability,Liability,0.839,manual,True
310,SRC_Account_310,TGT_Account_310,Asset,Expense,0.959,semantic,False
311,SRC_Account_311,TGT_Account_311,Revenue,Liability,0.998,semantic,True
312,SRC_Account_312,TGT_Account_312,Revenue,Asset,0.631,rule_based,False
313,SRC_Account_313,TGT_Account_313,Asset,Equity,0.754,exact,False
314,SRC_Account_314,TGT_Account_314,Liability,Asset,0.672,rule_based,True
315,SRC_Account_315,TGT_Account_315,Liability,Liability,0.741,exact,True
316,SRC_Account_316,TGT_Account_316,Revenue,Asset,0.715,semantic,True
317,SRC_Account_317,TGT_Account_317,Revenue,Asset,0.67,manual,True
318,SRC_Account_318,TGT_Account_318,Revenue,Equity,0.906,rule_based,False
319,SRC_Account_319,TGT_Account_319,Expense,Expense,,rule_based,True
320,SRC_Account_320,TGT_Account_320,Revenue,Liability,0.968,exact,True
321,SRC_Account_321,TGT_Account_321,Liability,Asset,0.613,rule_based,True
322,SRC_Account_322,TGT_Account_322,Asset,Asset,0.627,semantic,True
323,SRC_Account_323,TGT_Account_323,Revenue,Liability,0.761,semantic,False
324,SRC_Account_324,TGT_Account_324,Expense,Revenue,0.632,exact,True
325,SRC_Account_325,TGT_Account_325,Expense,Asset,0.705,exact,True
326,SRC_Account_326,TGT_Account_326,Liability,Expense,0.994,semantic,True
327,SRC_Account_327,TGT_Account_327,Liability,Liability,0.684,exact,False
328,SRC_Account_328,TGT_Account_328,Asset,Asset,0.679,rule_based,True
329,SRC_Account_329,TGT_Account_329,Asset,Asset,0.829,rule_based,True
330,SRC_Account_330,TGT_Account_330,Equity,Asset,0.799,manual,True
331,SRC_Account_331,TGT_Account_331,Equity,Asset,0.832,exact,True
332,SRC_Account_332,TGT_Account_332,Liability,Expense,0.751,manual,False
333,SRC_Account_333,TGT_Account_333,Liability,Liability,0.931,exact,True
334,SRC_Account_334,TGT_Account_334,Expense,Expense,0.655,semantic,True
335,SRC_Account_335,TGT_Account_335,Equity,Equity,0.771,rule_based,False
336,SRC_Account_336,TGT_Account_336,Expense,Equity,0.876,exact,True
337,SRC_Account_337,TGT_Account_337,Expense,Equity,0.947,exact,True
338,SRC_Account_338,TGT_Account_338,Liability,Equity,0.748,exact,True
339,SRC_Account_339,TGT_Account_339,Liability,Asset,0.827,semantic,True
340,SRC_Account_340,TGT_Account_340,Expense,Asset,0.628,rule_based,False
341,SRC_Account_341,TGT_Account_341,Revenue,Asset,0.668,exact,False
342,SRC_Account_342,TGT_Account_342,Liability,Liability,0.628,exact,False
343,SRC_Account_343,TGT_Account_343,Revenue,Liability,,semantic,False
344,SRC_Account_344,TGT_Account_344,Equity,Revenue,0.715,exact,True
345,SRC_Account_345,TGT_Account_345,Expense,Equity,0.889,rule_based,True
346,SRC_Account_346,TGT_Account_346,Liability,Liability,0.627,manual,True
347,SRC_Account_347,TGT_Account_347,Expense,Liability,0.945,rule_based,False
348,SRC_Account_348,TGT_Account_348,Expense,Revenue,0.934,rule_based,False
349,SRC_Account_349,TGT_Account_349,Asset,Liability,0.636,semantic,True
350,SRC_Account_350,TGT_Account_350,Asset,Equity,0.61,rule_based,True
351,SRC_Account_351,TGT_Account_351,Equity,Equity,0.623,exact,False
352,SRC_Account_352,TGT_Account_352,Asset,Revenue,0.941,exact,False
353,SRC_Account_353,TGT_Account_353,Liability,Revenue,0.694,semantic,False
354,SRC_Account_354,TGT_Account_354,Equity,Equity,0.819,exact,True
355,SRC_Account_355,TGT_Account_355,Expense,Liability,0.77,rule_based,True
356,SRC_Account_356,TGT_Account_356,Expense,Liability,0.918,semantic,True
357,SRC_Account_357,TGT_Account_357,Asset,Equity,0.796,manual,True
358,SRC_Account_358,TGT_Account_358,Expense,Liability,0.8,exact,False
359,SRC_Account_359,TGT_Account_359,Asset,Revenue,0.996,semantic,True
360,SRC_Account_360,TGT_Account_360,Revenue,Liability,0.66,rule_based,True
361,SRC_Account_361,TGT_Account_361,Expense,Revenue,0.932,exact,True
362,SRC_Account_362,TGT_Account_362,Expense,Revenue,0.621,semantic,True
363,SRC_Account_363,TGT_Account_363,Liability,Expense,0.791,semantic,True
364,SRC_Account_364,TGT_Account_364,Expense,Asset,0.955,manual,True
365,SRC_Account_365,TGT_Account_365,Asset,Revenue,0.866,rule_based,False
366,SRC_Account_366,TGT_Account_366,Equity,Asset,0.874,exact,True
