je_id,posting_date,value_date,amount,currency,dr_account,cr_account,description,status,approver
JE00000025,2022-01-02 00:00:00,2022-01-02 00:00:00,38941.34,USD,ACC003013,ACC003500,Journal entry 25,posted,User39
JE00000026,2022-01-02 01:00:00,2022-01-02 01:00:00,9812.47,USD,ACC003592,ACC001814,Journal entry 26,posted,User10
JE00000027,2022-01-02 02:00:00,2022-01-02 02:00:00,23389.38,USD,ACC000994,ACC003634,Journal entry 27,posted,User5
JE00000028,2022-01-02 03:00:00,2022-01-02 03:00:00,2285.81,EUR,ACC001138,ACC002519,Journal entry 28,posted,User14
JE00000029,2022-02-22 04:00:00,2022-01-02 04:00:00,7799.05,GBP,ACC000242,ACC001119,Journal entry 29,posted,User10
JE00000030,2022-01-02 05:00:00,2022-01-02 05:00:00,34184.14,USD,ACC002632,ACC000108,Journal entry 30,posted,User9
JE00000031,2022-01-02 06:00:00,2022-01-02 06:00:00,37263.63,USD,ACC003345,ACC000020,Journal entry 31,posted,User23
JE00000032,2022-01-02 07:00:00,2022-01-02 07:00:00,48378.74,USD,ACC001051,ACC001121,Journal entry 32,posted,User40
JE00000033,2022-01-02 08:00:00,2022-01-02 08:00:00,16358.69,USD,ACC003560,ACC004096,Journal entry 33,posted,
JE00000034,2022-01-02 09:00:00,2022-01-02 09:00:00,18585.94,USD,ACC000016,ACC002319,Journal entry 34,posted,User14
JE00000035,2022-01-02 10:00:00,2022-01-02 10:00:00,23530.83,USD,ACC004333,ACC002259,Journal entry 35,posted,User21
JE00000036,2022-01-02 11:00:00,2022-01-02 11:00:00,9554.62,EUR,ACC003452,ACC001995,Journal entry 36,posted,
JE00000037,2022-01-02 12:00:00,2022-01-02 12:00:00,6583.08,USD,ACC003417,ACC001280,Journal entry 37,posted,User20
JE00000038,2022-01-02 13:00:00,2022-01-02 13:00:00,23837.68,USD,ACC003537,ACC003574,Journal entry 38,posted,User48
JE00000039,2022-01-02 14:00:00,2022-01-02 14:00:00,11422.78,USD,ACC001794,ACC000064,Journal entry 39,pending,User47
JE00000040,2022-01-02 15:00:00,2022-01-02 15:00:00,33523.72,EUR,ACC004979,ACC003060,Journal entry 40,posted,User49
JE00000041,2022-01-02 16:00:00,2022-01-02 16:00:00,21913.88,USD,ACC003733,ACC004685,Journal entry 41,posted,User21
JE00000042,2022-01-02 17:00:00,2022-01-02 17:00:00,41650.64,USD,ACC000906,ACC004402,Journal entry 42,posted,User39
JE00000043,2022-01-02 18:00:00,2022-01-02 18:00:00,35043.23,EUR,ACC004613,ACC001847,Journal entry 43,posted,User37
JE00000044,2022-01-02 19:00:00,2022-01-02 19:00:00,15687.1,USD,ACC003698,ACC004274,Journal entry 44,posted,User40
JE00000045,2022-01-02 20:00:00,2022-01-02 20:00:00,41629.76,GBP,ACC001555,ACC001189,Journal entry 45,reversed,
JE00000046,2022-01-02 21:00:00,2022-01-02 21:00:00,40257.74,USD,ACC004740,ACC001207,Journal entry 46,posted,User47
JE00000047,2022-01-02 22:00:00,2022-01-02 22:00:00,4968313.221500001,EUR,ACC001242,ACC001718,Journal entry 47,reversed,User46
JE00000048,2022-01-02 23:00:00,2022-01-02 23:00:00,14487.57,GBP,ACC003223,ACC000089,Journal entry 48,posted,
JE00000049,2022-01-03 00:00:00,2022-01-03 00:00:00,4968313.221500001,USD,ACC003351,ACC001329,Journal entry 49,posted,User29
JE00000050,2022-01-03 01:00:00,2022-01-03 01:00:00,7073.65,USD,ACC004816,ACC004273,Journal entry 50,posted,User23
JE00000051,2022-01-03 02:00:00,2022-01-03 02:00:00,10075.42,USD,ACC002851,ACC003812,Journal entry 51,posted,User13
JE00000052,2022-01-03 03:00:00,2022-01-03 03:00:00,467.38,EUR,ACC004973,ACC001646,Journal entry 52,reversed,User3
JE00000053,2022-01-03 04:00:00,2022-01-03 04:00:00,39367.53,GBP,ACC001422,ACC001563,Journal entry 53,posted,User48
JE00000054,2022-01-03 05:00:00,2022-01-03 05:00:00,33276.06,EUR,ACC004009,ACC001736,Journal entry 54,posted,User11
JE00000055,2022-01-03 06:00:00,2022-01-03 06:00:00,35287.75,GBP,ACC001227,ACC000595,Journal entry 55,reversed,User17
JE00000056,2022-01-03 07:00:00,2022-01-03 07:00:00,39058.38,USD,ACC004997,ACC000792,Journal entry 56,posted,User22
JE00000057,2022-01-03 08:00:00,2022-01-03 08:00:00,22999.9,USD,ACC003819,ACC004964,Journal entry 57,posted,User34
JE00000058,2022-01-24 09:00:00,2022-01-03 09:00:00,4968313.221500001,USD,ACC003130,ACC003466,Journal entry 58,posted,User14
JE00000059,2022-01-03 10:00:00,2022-01-03 10:00:00,7075.87,EUR,ACC000332,ACC003388,Journal entry 59,posted,User11
JE00000060,2022-01-31 11:00:00,2022-01-03 11:00:00,5815.05,EUR,ACC002486,ACC001401,Journal entry 60,pending,User17
JE00000061,2022-01-03 12:00:00,2022-01-03 12:00:00,33453.31,USD,ACC000721,ACC004280,Journal entry 61,posted,User17
JE00000062,2022-01-03 13:00:00,2022-01-03 13:00:00,23607.7,USD,ACC004589,ACC000884,Journal entry 62,posted,User3
JE00000063,2022-01-03 14:00:00,2022-01-03 14:00:00,28305.28,USD,ACC001896,ACC004844,Journal entry 63,posted,User20
JE00000064,2022-01-03 15:00:00,2022-01-03 15:00:00,38273.44,EUR,ACC004155,ACC002517,Journal entry 64,posted,User28
JE00000065,2022-01-03 16:00:00,2022-01-03 16:00:00,31772.44,GBP,ACC004531,ACC001655,Journal entry 65,posted,User22
JE00000066,2022-01-03 17:00:00,2022-01-03 17:00:00,27723.61,USD,ACC000551,ACC003753,Journal entry 66,posted,User18
JE00000067,2022-01-03 18:00:00,2022-01-03 18:00:00,28004.44,USD,ACC003797,ACC002087,Journal entry 67,posted,User45
JE00000068,2022-01-03 19:00:00,2022-01-03 19:00:00,15267.11,USD,ACC001514,ACC001348,Journal entry 68,posted,User13
JE00000069,2022-01-03 20:00:00,2022-01-03 20:00:00,1637.81,USD,ACC000544,ACC003419,Journal entry 69,posted,User42
JE00000070,2022-01-03 21:00:00,2022-01-03 21:00:00,21892.2,GBP,ACC001304,ACC003611,Journal entry 70,posted,User30
JE00000071,2022-01-03 22:00:00,2022-01-03 22:00:00,10807.78,USD,ACC002750,ACC003017,Journal entry 71,posted,User32
JE00000072,2022-01-03 23:00:00,2022-01-03 23:00:00,20485.58,USD,ACC004277,ACC002310,Journal entry 72,posted,User14
JE00000073,2022-01-04 00:00:00,2022-01-04 00:00:00,42684.81,USD,ACC003459,ACC001645,Journal entry 73,posted,User48
JE00000074,2022-01-04 01:00:00,2022-01-04 01:00:00,11773.58,USD,ACC001167,ACC002019,Journal entry 74,posted,User24
JE00000075,2022-01-04 02:00:00,2022-01-04 02:00:00,3009.31,GBP,ACC001480,ACC004372,Journal entry 75,posted,
JE00000076,2022-01-04 03:00:00,2022-01-04 03:00:00,4968313.221500001,USD,ACC001521,ACC001798,Journal entry 76,posted,User13
JE00000077,2022-01-04 04:00:00,2022-01-04 04:00:00,14750.33,USD,ACC003681,ACC004836,Journal entry 77,posted,User24
JE00000078,2022-01-04 05:00:00,2022-01-04 05:00:00,33129.63,USD,ACC002594,ACC000728,Journal entry 78,posted,
JE00000079,2022-01-04 06:00:00,2022-01-04 06:00:00,27895.9,GBP,ACC000120,ACC000814,Journal entry 79,posted,
JE00000080,2022-01-04 07:00:00,2022-01-04 07:00:00,39216.52,GBP,ACC000381,ACC001664,Journal entry 80,posted,User42
JE00000081,2022-01-04 08:00:00,2022-01-04 08:00:00,33249.25,USD,ACC000379,ACC000015,Journal entry 81,posted,User8
JE00000082,2022-01-04 09:00:00,2022-01-04 09:00:00,20378.7,USD,ACC004807,ACC004397,Journal entry 82,pending,User5
JE00000083,2022-01-04 10:00:00,2022-01-04 10:00:00,40719.62,USD,ACC002524,ACC001702,Journal entry 83,posted,User47
JE00000084,2022-03-04 11:00:00,2022-01-04 11:00:00,8431.95,USD,ACC002456,ACC000511,Journal entry 84,posted,User41
JE00000085,2022-01-04 12:00:00,2022-01-04 12:00:00,1233.33,USD,ACC003806,ACC003093,Journal entry 85,posted,User8
JE00000086,2022-03-24 13:00:00,2022-01-04 13:00:00,4593.39,EUR,ACC000953,ACC004792,Journal entry 86,posted,User42
JE00000087,2022-01-09 14:00:00,2022-01-04 14:00:00,36145.73,GBP,ACC000158,ACC004969,Journal entry 87,posted,User38
JE00000088,2022-01-04 15:00:00,2022-01-04 15:00:00,23147.67,USD,ACC001355,ACC000538,Journal entry 88,posted,User48
JE00000089,2022-01-04 16:00:00,2022-01-04 16:00:00,8147.46,USD,ACC001043,ACC003965,Journal entry 89,posted,User8
JE00000090,2022-01-04 17:00:00,2022-01-04 17:00:00,25102.13,USD,ACC003991,ACC001811,Journal entry 90,posted,User41
JE00000091,2022-01-04 18:00:00,2022-01-04 18:00:00,7700.37,USD,ACC004092,ACC004182,Journal entry 91,posted,User18
JE00000092,2022-01-04 19:00:00,2022-01-04 19:00:00,34846.39,USD,ACC003171,ACC003032,Journal entry 92,pending,User28
JE00000093,2022-01-04 20:00:00,2022-01-04 20:00:00,22363.2,USD,ACC004550,ACC003659,Journal entry 93,posted,User13
JE00000094,2022-01-04 21:00:00,2022-01-04 21:00:00,19112.96,GBP,ACC002324,ACC004190,Journal entry 94,posted,User4
JE00000095,2022-01-04 22:00:00,2022-01-04 22:00:00,15145.45,USD,ACC001203,ACC004477,Journal entry 95,posted,User35
JE00000096,2022-01-04 23:00:00,2022-01-04 23:00:00,31551.1,EUR,ACC001659,ACC000718,Journal entry 96,pending,User4
JE00000097,2022-01-05 00:00:00,2022-01-05 00:00:00,18154.45,USD,ACC000709,ACC003620,Journal entry 97,pending,User23
JE00000098,2022-01-05 01:00:00,2022-01-05 01:00:00,4473.73,USD,ACC004504,ACC000706,Journal entry 98,posted,User10
JE00000099,2022-01-05 02:00:00,2022-01-05 02:00:00,5988.49,USD,ACC003021,ACC004720,Journal entry 99,posted,User46
JE00000100,2022-01-05 03:00:00,2022-01-05 03:00:00,48098.69,GBP,ACC003863,ACC003142,Journal entry 100,pending,User22
JE00000101,2022-01-05 04:00:00,2022-01-05 04:00:00,45438.18,USD,ACC001408,ACC000964,Journal entry 101,posted,User10
JE00000102,2022-01-05 05:00:00,2022-01-05 05:00:00,35015.39,USD,ACC003591,ACC001464,Journal entry 102,posted,User47
JE00000103,2022-01-05 06:00:00,2022-01-05 06:00:00,13366.91,EUR,ACC001653,ACC004479,Journal entry 103,posted,User34
JE00000104,2022-01-05 07:00:00,2022-01-05 07:00:00,48461.9,EUR,ACC002231,ACC003223,Journal entry 104,posted,User9
JE00000105,2022-01-05 08:00:00,2022-01-05 08:00:00,38959.67,USD,ACC003260,ACC001147,Journal entry 105,posted,User18
JE00000106,2022-01-05 09:00:00,2022-01-05 09:00:00,4968313.221500001,USD,ACC004906,ACC004103,Journal entry 106,posted,User27
JE00000107,2022-03-29 10:00:00,2022-01-05 10:00:00,22523.14,USD,ACC002791,ACC003592,Journal entry 107,posted,User39
JE00000108,2022-01-05 11:00:00,2022-01-05 11:00:00,13684.85,EUR,ACC003551,ACC000385,Journal entry 108,posted,
JE00000109,2022-01-05 12:00:00,2022-01-05 12:00:00,4909.91,USD,ACC002974,ACC001417,Journal entry 109,posted,User42
JE00000110,2022-01-05 13:00:00,2022-01-05 13:00:00,45139.86,USD,ACC002119,ACC004223,Journal entry 110,posted,User1
JE00000111,2022-01-05 14:00:00,2022-01-05 14:00:00,22843.24,USD,ACC004663,ACC001755,Journal entry 111,posted,User24
JE00000112,2022-01-05 15:00:00,2022-01-05 15:00:00,10197.93,USD,ACC004803,ACC004803,Journal entry 112,posted,User3
JE00000113,2022-01-05 16:00:00,2022-01-05 16:00:00,15367.24,GBP,ACC001553,ACC003020,Journal entry 113,posted,User15
JE00000114,2022-01-05 17:00:00,2022-01-05 17:00:00,29003.06,EUR,ACC004479,ACC004495,Journal entry 114,posted,User14
JE00000115,2022-01-05 18:00:00,2022-01-05 18:00:00,8920.96,USD,ACC002257,ACC002783,Journal entry 115,posted,User14
JE00000116,2022-01-05 19:00:00,2022-01-05 19:00:00,42845.05,GBP,ACC003700,ACC004879,Journal entry 116,posted,
JE00000117,2022-01-05 20:00:00,2022-01-05 20:00:00,37950.12,USD,ACC002586,ACC000571,Journal entry 117,posted,User20
JE00000118,2022-01-05 21:00:00,2022-01-05 21:00:00,36001.2,USD,ACC003835,ACC003835,Journal entry 118,posted,User25
JE00000119,2022-01-05 22:00:00,2022-01-05 22:00:00,4968313.221500001,USD,ACC004358,ACC003249,Journal entry 119,posted,User47
JE00000120,2022-03-18 23:00:00,2022-01-05 23:00:00,31402.71,EUR,ACC002119,ACC004922,Journal entry 120,posted,User21
JE00000121,2022-01-06 00:00:00,2022-01-06 00:00:00,29246.49,USD,ACC003504,ACC002606,Journal entry 121,posted,User2
JE00000122,2022-01-06 01:00:00,2022-01-06 01:00:00,4968313.221500001,USD,ACC002537,ACC002537,Journal entry 122,posted,User29
JE00000123,2022-01-06 02:00:00,2022-01-06 02:00:00,4313.77,EUR,ACC003996,ACC003996,Journal entry 123,posted,User15
JE00000124,2022-01-06 03:00:00,2022-01-06 03:00:00,20848.79,USD,ACC000958,ACC000222,Journal entry 124,pending,User8
JE00000125,2022-01-06 04:00:00,2022-01-06 04:00:00,2176.55,GBP,ACC003646,ACC003583,Journal entry 125,posted,User33
JE00000126,2022-01-06 05:00:00,2022-01-06 05:00:00,24750.14,USD,ACC002977,ACC000020,Journal entry 126,posted,User34
JE00000127,2022-01-06 06:00:00,2022-01-06 06:00:00,16560.07,USD,ACC002258,ACC004375,Journal entry 127,posted,User18
JE00000128,2022-01-06 07:00:00,2022-01-06 07:00:00,7311.76,USD,ACC001850,ACC000104,Journal entry 128,posted,User11
JE00000129,2022-01-06 08:00:00,2022-01-06 08:00:00,5259.81,USD,ACC003509,ACC003443,Journal entry 129,posted,User25
JE00000130,2022-01-06 09:00:00,2022-01-06 09:00:00,29423.46,USD,ACC001738,ACC002260,Journal entry 130,posted,User23
JE00000131,2022-01-06 10:00:00,2022-01-06 10:00:00,8612.59,USD,ACC000165,ACC003228,Journal entry 131,pending,User48
JE00000132,2022-01-06 11:00:00,2022-01-06 11:00:00,46263.49,GBP,ACC004742,ACC003117,Journal entry 132,posted,User2
JE00000133,2022-01-06 12:00:00,2022-01-06 12:00:00,29094.95,EUR,ACC002240,ACC002222,Journal entry 133,pending,User9
JE00000134,2022-01-06 13:00:00,2022-01-06 13:00:00,17408.8,EUR,ACC000824,ACC002408,Journal entry 134,posted,User40
JE00000135,2022-01-06 14:00:00,2022-01-06 14:00:00,29586.68,USD,ACC001129,ACC002517,Journal entry 135,posted,User47
JE00000136,2022-01-06 15:00:00,2022-01-06 15:00:00,1237.91,USD,ACC004150,ACC003386,Journal entry 136,posted,User31
JE00000137,2022-01-06 16:00:00,2022-01-06 16:00:00,47932.1,USD,ACC001659,ACC003552,Journal entry 137,posted,User16
JE00000138,2022-01-06 17:00:00,2022-01-06 17:00:00,24166.94,USD,ACC001408,ACC002249,Journal entry 138,posted,User11
JE00000139,2022-01-06 18:00:00,2022-01-06 18:00:00,39158.49,EUR,ACC002437,ACC001763,Journal entry 139,posted,User42
JE00000140,2022-01-06 19:00:00,2022-01-06 19:00:00,4228.23,USD,ACC000144,ACC000213,Journal entry 140,pending,User30
JE00000141,2022-01-06 20:00:00,2022-01-06 20:00:00,24384.25,USD,ACC002802,ACC003897,Journal entry 141,posted,
JE00000142,2022-01-06 21:00:00,2022-01-06 21:00:00,24586.28,USD,ACC000203,ACC001131,Journal entry 142,reversed,User22
JE00000143,2022-01-06 22:00:00,2022-01-06 22:00:00,46897.54,USD,ACC004179,ACC002171,Journal entry 143,posted,User8
JE00000144,2022-01-06 23:00:00,2022-01-06 23:00:00,28629.23,USD,ACC002146,ACC004964,Journal entry 144,posted,User41
JE00000145,2022-01-07 00:00:00,2022-01-07 00:00:00,23727.12,USD,ACC001092,ACC003925,Journal entry 145,posted,User3
JE00000146,2022-01-07 01:00:00,2022-01-07 01:00:00,13422.09,USD,ACC002273,ACC001730,Journal entry 146,posted,User49
JE00000147,2022-01-07 02:00:00,2022-01-07 02:00:00,16645.29,USD,ACC000878,ACC002375,Journal entry 147,posted,User9
JE00000148,2022-01-07 03:00:00,2022-01-07 03:00:00,26081.55,USD,ACC001602,ACC001624,Journal entry 148,posted,User7
JE00000149,2022-01-07 04:00:00,2022-01-07 04:00:00,22001.68,EUR,ACC000654,ACC003131,Journal entry 149,posted,User4
JE00000150,2022-01-07 05:00:00,2022-01-07 05:00:00,1178.44,USD,ACC003344,ACC000764,Journal entry 150,posted,User25
JE00000151,2022-01-07 06:00:00,2022-01-07 06:00:00,41331.97,USD,ACC004881,ACC004764,Journal entry 151,posted,User3
JE00000152,2022-01-07 07:00:00,2022-01-07 07:00:00,44818.42,USD,ACC002427,ACC004936,Journal entry 152,posted,User13
JE00000153,2022-01-07 08:00:00,2022-01-07 08:00:00,7098.43,USD,ACC000493,ACC001493,Journal entry 153,reversed,User40
JE00000154,2022-01-07 09:00:00,2022-01-07 09:00:00,27746.4,EUR,ACC000371,ACC001153,Journal entry 154,posted,User37
JE00000155,2022-01-07 10:00:00,2022-01-07 10:00:00,5517.93,USD,ACC004161,ACC002697,Journal entry 155,posted,User17
JE00000156,2022-01-07 11:00:00,2022-01-07 11:00:00,33644.78,GBP,ACC001741,ACC003235,Journal entry 156,posted,User2
JE00000157,2022-01-07 12:00:00,2022-01-07 12:00:00,14133.57,EUR,ACC001481,ACC003219,Journal entry 157,posted,User8
JE00000158,2022-01-07 13:00:00,2022-01-07 13:00:00,33005.19,USD,ACC000510,ACC000211,Journal entry 158,posted,User27
JE00000159,2022-01-07 14:00:00,2022-01-07 14:00:00,36377.03,USD,ACC003319,ACC003556,Journal entry 159,posted,
JE00000160,2022-01-07 15:00:00,2022-01-07 15:00:00,38455.51,USD,ACC000315,ACC000333,Journal entry 160,posted,User42
JE00000161,2022-03-23 16:00:00,2022-01-07 16:00:00,5476.27,USD,ACC004521,ACC001710,Journal entry 161,posted,User24
JE00000162,2022-01-07 17:00:00,2022-01-07 17:00:00,45808.99,USD,ACC001042,ACC003584,Journal entry 162,posted,User20
JE00000163,2022-01-07 18:00:00,2022-01-07 18:00:00,11587.68,USD,ACC000346,ACC004436,Journal entry 163,posted,User31
JE00000164,2022-01-07 19:00:00,2022-01-07 19:00:00,1966.89,USD,ACC003503,ACC003176,Journal entry 164,posted,User42
JE00000165,2022-01-07 20:00:00,2022-01-07 20:00:00,27787.14,USD,ACC001771,ACC000799,Journal entry 165,posted,User41
JE00000166,2022-01-07 21:00:00,2022-01-07 21:00:00,18609.02,USD,ACC003481,ACC003401,Journal entry 166,posted,User8
JE00000167,2022-01-07 22:00:00,2022-01-07 22:00:00,41506.51,USD,ACC000199,ACC000186,Journal entry 167,reversed,User21
JE00000168,2022-01-07 23:00:00,2022-01-07 23:00:00,40431.75,GBP,ACC004307,ACC001155,Journal entry 168,posted,User45
JE00000169,2022-01-08 00:00:00,2022-01-08 00:00:00,15925.23,USD,ACC001549,ACC000619,Journal entry 169,posted,User40
JE00000170,2022-01-08 01:00:00,2022-01-08 01:00:00,47649.68,USD,ACC003783,ACC004925,Journal entry 170,posted,User39
JE00000171,2022-01-08 02:00:00,2022-01-08 02:00:00,14616.8,GBP,ACC004679,ACC001842,Journal entry 171,posted,
JE00000172,2022-01-08 03:00:00,2022-01-08 03:00:00,25801.35,USD,ACC002678,ACC002792,Journal entry 172,posted,User20
JE00000173,2022-01-08 04:00:00,2022-01-08 04:00:00,12872.66,USD,ACC001671,ACC003953,Journal entry 173,posted,User41
JE00000174,2022-01-08 05:00:00,2022-01-08 05:00:00,46808.57,USD,ACC001564,ACC004848,Journal entry 174,posted,User7
JE00000175,2022-01-08 06:00:00,2022-01-08 06:00:00,8313.93,USD,ACC003432,ACC004978,Journal entry 175,posted,User36
JE00000176,2022-01-08 07:00:00,2022-01-08 07:00:00,4968313.221500001,EUR,ACC000030,ACC000821,Journal entry 176,posted,User26
JE00000177,2022-01-08 08:00:00,2022-01-08 08:00:00,21811.34,USD,ACC000735,ACC001970,Journal entry 177,posted,User36
JE00000178,2022-01-08 09:00:00,2022-01-08 09:00:00,49619.54,USD,ACC003236,ACC002026,Journal entry 178,posted,User33
JE00000179,2022-01-08 10:00:00,2022-01-08 10:00:00,44594.7,USD,ACC000129,ACC003982,Journal entry 179,reversed,User5
JE00000180,2022-01-08 11:00:00,2022-01-08 11:00:00,37455.54,USD,ACC001449,ACC001679,Journal entry 180,posted,User7
JE00000181,2022-01-08 12:00:00,2022-01-08 12:00:00,4968313.221500001,USD,ACC003239,ACC001157,Journal entry 181,reversed,User17
JE00000182,2022-01-24 13:00:00,2022-01-08 13:00:00,44682.99,EUR,ACC001251,ACC003776,Journal entry 182,posted,
JE00000183,2022-01-08 14:00:00,2022-01-08 14:00:00,25991.03,USD,ACC004654,ACC002476,Journal entry 183,posted,User46
JE00000184,2022-01-08 15:00:00,2022-01-08 15:00:00,15864.86,USD,ACC004875,ACC003738,Journal entry 184,pending,User38
JE00000185,2022-01-08 16:00:00,2022-01-08 16:00:00,38623.42,USD,ACC000168,ACC001900,Journal entry 185,posted,User12
JE00000186,2022-01-08 17:00:00,2022-01-08 17:00:00,33116.9,GBP,ACC000872,ACC002433,Journal entry 186,posted,User47
JE00000187,2022-01-08 18:00:00,2022-01-08 18:00:00,18745.52,USD,ACC004538,ACC000046,Journal entry 187,pending,User36
JE00000188,2022-01-08 19:00:00,2022-01-08 19:00:00,4813.89,USD,ACC000163,ACC000081,Journal entry 188,posted,User15
JE00000189,2022-01-08 20:00:00,2022-01-08 20:00:00,37364.8,USD,ACC002434,ACC000002,Journal entry 189,pending,User35
JE00000190,2022-01-08 21:00:00,2022-01-08 21:00:00,13196.78,EUR,ACC004747,ACC000877,Journal entry 190,posted,User22
JE00000191,2022-01-08 22:00:00,2022-01-08 22:00:00,46846.98,USD,ACC002943,ACC001739,Journal entry 191,posted,User24
JE00000192,2022-01-08 23:00:00,2022-01-08 23:00:00,12124.43,EUR,ACC001531,ACC000252,Journal entry 192,posted,User12
JE00000193,2022-01-09 00:00:00,2022-01-09 00:00:00,6225.62,USD,ACC000032,ACC000804,Journal entry 193,posted,User32
JE00000194,2022-01-09 01:00:00,2022-01-09 01:00:00,41572.52,GBP,ACC001968,ACC004236,Journal entry 194,pending,User14
JE00000195,2022-01-09 02:00:00,2022-01-09 02:00:00,7748.89,GBP,ACC002710,ACC004273,Journal entry 195,posted,User46
JE00000196,2022-01-09 03:00:00,2022-01-09 03:00:00,9045.49,USD,ACC000405,ACC001449,Journal entry 196,posted,User8
JE00000197,2022-01-09 04:00:00,2022-01-09 04:00:00,30009.2,USD,ACC002642,ACC004733,Journal entry 197,pending,User13
JE00000198,2022-01-09 05:00:00,2022-01-09 05:00:00,43740.65,USD,ACC002021,ACC000590,Journal entry 198,pending,User7
JE00000199,2022-01-09 06:00:00,2022-01-09 06:00:00,9902.09,USD,ACC001630,ACC000158,Journal entry 199,posted,User12
JE00000200,2022-02-26 07:00:00,2022-01-09 07:00:00,15585.15,USD,ACC004862,ACC001771,Journal entry 200,posted,User33
JE00000201,2022-01-09 08:00:00,2022-01-09 08:00:00,38892.5,USD,ACC004469,ACC001324,Journal entry 201,pending,User47
JE00000202,2022-01-09 09:00:00,2022-01-09 09:00:00,48594.14,GBP,ACC003471,ACC000387,Journal entry 202,posted,User8
JE00000203,2022-01-09 10:00:00,2022-01-09 10:00:00,4968313.221500001,USD,ACC002955,ACC004238,Journal entry 203,posted,User11
JE00000204,2022-01-09 11:00:00,2022-01-09 11:00:00,7280.49,USD,ACC002370,ACC004895,Journal entry 204,posted,User7
JE00000205,2022-01-09 12:00:00,2022-01-09 12:00:00,795.42,USD,ACC000352,ACC001352,Journal entry 205,posted,User40
JE00000206,2022-01-09 13:00:00,2022-01-09 13:00:00,11559.84,USD,ACC001538,ACC001576,Journal entry 206,reversed,User27
JE00000207,2022-01-09 14:00:00,2022-01-09 14:00:00,6677.93,USD,ACC000053,ACC003592,Journal entry 207,posted,User18
JE00000208,2022-01-09 15:00:00,2022-01-09 15:00:00,33915.17,USD,ACC001831,ACC004666,Journal entry 208,posted,
JE00000209,2022-01-09 16:00:00,2022-01-09 16:00:00,6179.44,USD,ACC002369,ACC001435,Journal entry 209,posted,User5
