claim,location_in_tex,backing_file,backing_value,match
"D2 hybrid(fixed) F1=0.366","Table 3 line 740","results/tables/baseline.csv","0.3664165","yes"
"D2 hybrid_lr F1=0.359","Table 3 line 741","results/tables/baseline.csv","0.3589920","yes"
"D2 hybrid_lr Recall=0.625","Table 3 line 741","results/tables/baseline.csv","0.6247000","yes"
"D2 hybrid_lr FPR=0.097","Table 3 line 741","results/tables/baseline.csv","0.0966458","yes"
"D3 rule F1=0.700","Table 3 line 744","results/tables/baseline.csv","0.7003210","yes"
"D3 stat F1=0.185","Table 3 line 745","results/tables/baseline.csv","0.1848070","yes"
"D3 iforest F1=0.614","Table 3 line 746","results/tables/baseline.csv","0.6137993","yes"
"D3 lof F1=0.100","Table 3 line 747","results/tables/baseline.csv","0.0997694","yes"
"D3 hybrid(fixed) F1=0.698","Table 3 line 748","results/tables/baseline.csv","0.6976148","yes"
"D3 hybrid_lr F1=0.717","Table 3 line 749","results/tables/baseline.csv","0.7171533","yes"
"stacker improves F1 by 0.043 over rule on D1 (body text)","Section IV-A line 707","results/tables/baseline.csv","0.5115-0.4697=0.0418; rounds to 0.042","NO - off by 0.001 (minor rounding error in text)"
"stacker improves by 0.017 over rule on D3","Section IV-A line 708","results/tables/baseline.csv","0.7172-0.7003=0.0169","yes"
"stacker improves by 0.103 over iforest on D3","Section IV-A line 708","results/tables/baseline.csv","0.7172-0.6138=0.1034","yes"
"fixed-weight hybrid edges stacker by 0.007 F1 on D2","Section IV-A line 710","results/tables/baseline.csv","0.3664-0.3590=0.0074","yes"
"stacker recovers 0.625 versus 0.520 recall (D2)","Section IV-A line 711","results/tables/baseline.csv","hybrid_lr=0.6247 hybrid=0.5200","yes"
"cost of 0.028 additional FPR (D2)","Section IV-A line 711","results/tables/baseline.csv","0.0966-0.0687=0.028","yes"
"Five families exceed 0.93 recall (A4 A5 B2 C1 C5)","Section IV-B line 765","results/tables/per_family.csv","A5=0.918 < 0.93 (should be B1=0.9435 not A5)","NO - A5 recall is 0.918 not >0.93; B1=0.9435 exceeds 0.93 but is absent from list"
"three sit below 0.10 (A3 A2 C3)","Section IV-B line 767","results/tables/per_family.csv","A2=0.034 A3=0.022 C3=0.000","yes"
"peak-F1 thresholds 0.92 0.67 0.95 for D1 D2 D3","Section IV-C line 786","results/tables/baseline.csv","D1=0.9216 D2=0.6710 D3=0.9539","yes - rounded"
"D1 CV F1=0.506 +/- 0.010","Table 4 line 830","results/tables/cv.csv","mean=0.5056 std=0.0086 (sample std)","yes - within rounding"
"D2 CV F1=0.359 +/- 0.004","Table 4 line 831","results/tables/cv.csv","mean=0.3590 std=0.003","yes"
"D3 CV F1=0.717 +/- 0.007","Table 4 line 832","results/tables/cv.csv","mean=0.7169 std=0.0071","yes"
"stat removal D1 delta_F1 = +0.063","Table 5 ablation line 845","results/tables/ablation.csv","0.5115-0.4486=0.0629","yes"
"iforest removal D2 delta_F1 = +0.014","Table 5 ablation line 846","results/tables/ablation.csv","0.3590-0.3453=0.0137","yes"
"rule removal D3 delta_F1 = +0.027","Table 5 ablation line 844","results/tables/ablation.csv","0.7172-0.6900=0.0272","yes"
"removing LOF is the least damaging everywhere","Section IV-D body line 817","results/tables/ablation.csv","D3 LOF delta=0.011 but D3 iforest delta=-0.008 (absolute 0.008 < 0.011)","NO - on D3 removing iforest is less damaging (|delta|=0.008) than removing LOF (|delta|=0.011)"
"scalability n=10000 F1=0.350","Table 6 line 878","results/tables/scalability.csv","0.34962","yes"
"scalability n=50000 time=2.74s F1=0.334","Table 6 line 879","results/tables/scalability.csv","time=3.004s F1=0.33417","YES for F1 / timing varies by machine"
"scalability n=100000 time=7.25s F1=0.348","Table 6 line 880","results/tables/scalability.csv","time=8.044s F1=0.34758","YES for F1 / timing varies"
"scalability n=200000 time=17.32s F1=0.331","Table 6 line 881","results/tables/scalability.csv","time=16.625s F1=0.33118","YES for F1 / timing varies"
"SQL parse rate 0.991 transpile 0.991 AST-equiv 0.800","Table 7 lines 914-917","results/tables/sql_migration_summary.csv","parse=0.9913 transpile=0.9913 ast_equiv=0.8000","yes"
"SQL Queries 109 (Table 7)","Table 7 line 913","results/tables/sql_migration_summary.csv","109 (BUG - should be 115)","NO - G2 bug"
"SQL mean latency 1.09ms","Table 7 line 918","results/tables/sql_migration_summary.csv","0.97ms on fresh run","YES - timing only measurement-dependent"
"SQL easy AST-equiv 0.921","Table 9 line 953","results/tables/sql_migration_by_difficulty.csv","0.9211","yes"
"SQL medium AST-equiv 0.738","Table 9 line 954","results/tables/sql_migration_by_difficulty.csv","0.7385","yes"
"SQL hard AST-equiv 0.742","Table 9 line 955","results/tables/sql_migration_by_difficulty.csv","0.7421","yes"
"failure: decorator drift 62 pairs","Table 8 failure line 1019","results/tables/failure_analysis.csv","62","yes (hand-classified)"
"failure: dialect-specific 24 pairs","Table 8 failure line 1020","results/tables/failure_analysis.csv","24","yes (hand-classified)"
"failure: function semantics 15 pairs","Table 8 failure line 1021","results/tables/failure_analysis.csv","15","yes (hand-classified)"
"failure: DML/DDL extension 9 pairs","Table 8 failure line 1022","results/tables/failure_analysis.csv","9","yes (hand-classified)"
"failure: parse error 5 pairs","Table 8 failure line 1023","results/tables/failure_analysis.csv","5","yes (hand-classified)"
"failure modes total 115 pairs (62+24+15+9+5)","body line 985 and table caption","results/tables/failure_analysis.csv","62+24+15+9+5=115=575*(1-0.800)","yes - NOTE: this 115 is failing PAIRS not queries; distinct from G2 bug"
"case study D1 rule score=1.000","Section V body line 1058","results/tables/case_study_record.csv","1.000","yes"
"case study D1 iforest score=0.913","Section V body line 1059","results/tables/case_study_record.csv","0.9128897","yes"
"case study D1 stat score=0.108","Section V body line 1061","results/tables/case_study_record.csv","0.1082589","yes"
"case study D1 LOF score=0.000","Section V body line 1063","results/tables/case_study_record.csv","8.12e-09 (~0.000)","yes"
"case study D1 stacker=0.991","Section V body line 1065","results/tables/case_study_record.csv","0.9914670","yes"
"D1 audit cut tau*=0.92","Section V body line 1066","results/tables/baseline.csv","0.9216069 (~0.922)","yes - rounded"
"109-query corpus in threats to validity","Section VI threats line 1138","results/tables/sql_migration_summary.csv","115 unique (src_folder query) pairs","NO - G2 bug"
"F1 0.511 and 0.717 on D1 and D3 (conclusion)","Section VII conclusion line 1153","results/tables/baseline.csv","0.5115 and 0.7172","yes"
"strict AST-equivalence rate 0.800 across 575 pairs (conclusion)","Section VII conclusion line 1156","results/tables/sql_migration_summary.csv","0.8000","yes"
