query_id,dataset,stratum,result_type,description,ref_ok,n_reinstated_c7,C1_dirty_src_rel_err,C1_dirty_src_abs_err,C1_dirty_src_jaccard,C1_dirty_src_missing_rows,C1_dirty_src_extra_rows,C1_dirty_src_row_delta,C1_dirty_src_mean_col_rel_err,C1_dirty_src_median_col_rel_err,C1_dirty_src_max_col_rel_err,C1_dirty_src_exec_error,C2_dirty_trans_rel_err,C2_dirty_trans_abs_err,C2_dirty_trans_jaccard,C2_dirty_trans_missing_rows,C2_dirty_trans_extra_rows,C2_dirty_trans_row_delta,C2_dirty_trans_mean_col_rel_err,C2_dirty_trans_median_col_rel_err,C2_dirty_trans_max_col_rel_err,C2_dirty_trans_exec_error,C3_clean_src_rel_err,C3_clean_src_abs_err,C3_clean_src_jaccard,C3_clean_src_missing_rows,C3_clean_src_extra_rows,C3_clean_src_row_delta,C3_clean_src_mean_col_rel_err,C3_clean_src_median_col_rel_err,C3_clean_src_max_col_rel_err,C3_clean_src_exec_error,C4_clean_trans_rel_err,C4_clean_trans_abs_err,C4_clean_trans_jaccard,C4_clean_trans_missing_rows,C4_clean_trans_extra_rows,C4_clean_trans_row_delta,C4_clean_trans_mean_col_rel_err,C4_clean_trans_median_col_rel_err,C4_clean_trans_max_col_rel_err,C4_clean_trans_exec_error,C5_repaired_src_rel_err,C5_repaired_src_abs_err,C5_repaired_src_jaccard,C5_repaired_src_missing_rows,C5_repaired_src_extra_rows,C5_repaired_src_row_delta,C5_repaired_src_mean_col_rel_err,C5_repaired_src_median_col_rel_err,C5_repaired_src_max_col_rel_err,C5_repaired_src_exec_error,C6_repaired_trans_rel_err,C6_repaired_trans_abs_err,C6_repaired_trans_jaccard,C6_repaired_trans_missing_rows,C6_repaired_trans_extra_rows,C6_repaired_trans_row_delta,C6_repaired_trans_mean_col_rel_err,C6_repaired_trans_median_col_rel_err,C6_repaired_trans_max_col_rel_err,C6_repaired_trans_exec_error,C7_coupled_src_rel_err,C7_coupled_src_abs_err,C7_coupled_src_jaccard,C7_coupled_src_missing_rows,C7_coupled_src_extra_rows,C7_coupled_src_row_delta,C7_coupled_src_mean_col_rel_err,C7_coupled_src_median_col_rel_err,C7_coupled_src_max_col_rel_err,C7_coupled_src_exec_error
T11,D3,targeted,table,Education distribution,True,1788,0.92857143,,0.0714,6,7,1,0.00921158,0.0,0.07142857,,0.92857143,,0.0714,6,7,1,0.00921158,0.0,0.07142857,,1.0,,0.0,7,7,0,0.04330695,0.02633642,0.14285714,,1.0,,0.0,7,7,0,0.04330695,0.02633642,0.14285714,,0.0,,1.0,0,0,0,0.0,0.0,0.0,,0.0,,1.0,0,0,0,0.0,0.0,0.0,,0.92857143,,0.0714,6,7,1,0.00921158,0.0,0.07142857,
T12,D3,targeted,scalar,Count of invalid EDUCATION codes,True,1788,21.35714286,299.0,0.0,0,0,0,21.35714286,21.35714286,21.35714286,,21.35714286,299.0,0.0,0,0,0,21.35714286,21.35714286,21.35714286,,0.14285714,2.0,0.0,0,0,0,0.14285714,0.14285714,0.14285714,,0.14285714,2.0,0.0,0,0,0,0.14285714,0.14285714,0.14285714,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,21.35714286,299.0,0.0,0,0,0,21.35714286,21.35714286,21.35714286,
T13,D3,targeted,scalar,Average credit limit,True,1788,0.01047656,1754.66,0.0,0,0,0,0.01047656,0.01047656,0.01047656,,0.01047656,1754.66,0.0,0,0,0,0.01047656,0.01047656,0.01047656,,0.01360062,2277.89,0.0,0,0,0,0.01360062,0.01360062,0.01360062,,0.01360062,2277.89,0.0,0,0,0,0.01360062,0.01360062,0.01360062,,0.00038213,64.0,0.0,0,0,0,0.00038213,0.00038213,0.00038213,,0.00038213,64.0,0.0,0,0,0,0.00038213,0.00038213,0.00038213,,0.01047656,1754.66,0.0,0,0,0,0.01047656,0.01047656,0.01047656,
T14,D3,targeted,scalar,Count of outlier credit limits (> 500k),True,1788,0.00970874,2.0,0.0,0,0,0,0.00970874,0.00970874,0.00970874,,0.00970874,2.0,0.0,0,0,0,0.00970874,0.00970874,0.00970874,,0.08737864,18.0,0.0,0,0,0,0.08737864,0.08737864,0.08737864,,0.08737864,18.0,0.0,0,0,0,0.08737864,0.08737864,0.08737864,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.00970874,2.0,0.0,0,0,0,0.00970874,0.00970874,0.00970874,
T15,D3,targeted,scalar,Count of negative BILL_AMT1,True,1788,0.50847458,300.0,0.0,0,0,0,0.50847458,0.50847458,0.50847458,,0.50847458,300.0,0.0,0,0,0,0.50847458,0.50847458,0.50847458,,0.49491525,292.0,0.0,0,0,0,0.49491525,0.49491525,0.49491525,,0.49491525,292.0,0.0,0,0,0,0.49491525,0.49491525,0.49491525,,0.50847458,300.0,0.0,0,0,0,0.50847458,0.50847458,0.50847458,,0.50847458,300.0,0.0,0,0,0,0.50847458,0.50847458,0.50847458,,0.50847458,300.0,0.0,0,0,0,0.50847458,0.50847458,0.50847458,
T16,D3,targeted,scalar,Sum of BILL_AMT1,True,1788,0.02418062,37158352.0,0.0,0,0,0,0.02418062,0.02418062,0.02418062,,0.02418062,37158352.0,0.0,0,0,0,0.02418062,0.02418062,0.02418062,,0.08045829,123640248.0,0.0,0,0,0,0.08045829,0.08045829,0.08045829,,0.08045829,123640248.0,0.0,0,0,0,0.08045829,0.08045829,0.08045829,,0.02418062,37158352.0,0.0,0,0,0,0.02418062,0.02418062,0.02418062,,0.02418062,37158352.0,0.0,0,0,0,0.02418062,0.02418062,0.02418062,,0.02418062,37158352.0,0.0,0,0,0,0.02418062,0.02418062,0.02418062,
T17,D3,targeted,scalar,Count of anomalous pay statuses (PAY_0 > 8),True,1788,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,
T18,D3,targeted,scalar,Average age,True,1788,0.00817132,0.29,0.0,0,0,0,0.00817132,0.00817132,0.00817132,,0.00817132,0.29,0.0,0,0,0,0.00817132,0.00817132,0.00817132,,0.00140885,0.05,0.0,0,0,0,0.00140885,0.00140885,0.00140885,,0.00140885,0.05,0.0,0,0,0,0.00140885,0.00140885,0.00140885,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.00817132,0.29,0.0,0,0,0,0.00817132,0.00817132,0.00817132,
T19,D3,targeted,scalar,Count of out-of-range ages,True,1788,246999999999.99997,247.0,0.0,0,0,0,246999999999.99997,246999999999.99997,246999999999.99997,,246999999999.99997,247.0,0.0,0,0,0,246999999999.99997,246999999999.99997,246999999999.99997,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,246999999999.99997,247.0,0.0,0,0,0,246999999999.99997,246999999999.99997,246999999999.99997,
T20,D3,targeted,table,Credit limit avg by education,True,1788,0.92857143,,0.0714,6,7,1,0.00621214,0.0,0.02580974,,0.92857143,,0.0714,6,7,1,0.00621214,0.0,0.02580974,,1.0,,0.0,7,7,0,0.00984593,0.00513836,0.0405702,,1.0,,0.0,7,7,0,0.00984593,0.00513836,0.0405702,,0.6,,0.4,3,3,0,0.00011799,0.0,0.00107673,,0.6,,0.4,3,3,0,0.00011799,0.0,0.00107673,,0.92857143,,0.0714,6,7,1,0.00621214,0.0,0.02580974,
C01,D2,control,scalar,Count distinct agencies,True,24620,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,
C02,D2,control,table,Work borough distribution,True,24620,0.64,,0.36,8,8,0,0.01047338,0.0,0.11111111,,0.64,,0.36,8,8,0,0.01047338,0.0,0.11111111,,0.9375,,0.0625,15,15,0,0.13628996,0.125,0.45048544,,0.9375,,0.0625,15,15,0,0.13628996,0.125,0.45048544,,0.64,,0.36,8,8,0,0.009983,0.0,0.11111111,,0.64,,0.36,8,8,0,0.009983,0.0,0.11111111,,0.64,,0.36,8,8,0,0.009983,0.0,0.11111111,
C03,D2,control,table,Pay basis distribution,True,24620,1.0,,0.0,4,4,0,0.00949483,0.00983178,0.01020451,,1.0,,0.0,4,4,0,0.00949483,0.00983178,0.01020451,,1.0,,0.0,4,4,0,0.06792439,0.04716086,0.15767713,,1.0,,0.0,4,4,0,0.06792439,0.04716086,0.15767713,,1.0,,0.0,4,4,0,0.00897852,0.00896889,0.00986507,,1.0,,0.0,4,4,0,0.00897852,0.00896889,0.00986507,,1.0,,0.0,4,4,0,0.00897852,0.00896889,0.00986507,
C04,D2,control,scalar,Average regular hours,True,24620,0.00071643,0.4616,0.0,0,0,0,0.00071643,0.00071643,0.00071643,,0.00071643,0.4616,0.0,0,0,0,0.00071643,0.00071643,0.00071643,,0.03140228,20.2328,0.0,0,0,0,0.03140228,0.03140228,0.03140228,,0.03140228,20.2328,0.0,0,0,0,0.03140228,0.03140228,0.03140228,,0.00098803,0.6366,0.0,0,0,0,0.00098803,0.00098803,0.00098803,,0.00098803,0.6366,0.0,0,0,0,0.00098803,0.00098803,0.00098803,,0.00098803,0.6366,0.0,0,0,0,0.00098803,0.00098803,0.00098803,
C05,D2,control,scalar,Total other pay,True,24620,0.01034195,12434687.05,0.0,0,0,0,0.01034195,0.01034195,0.01034195,,0.01034195,12434687.05,0.0,0,0,0,0.01034195,0.01034195,0.01034195,,0.15787211,189818152.04,0.0,0,0,0,0.15787211,0.15787211,0.15787211,,0.15787211,189818152.04,0.0,0,0,0,0.15787211,0.15787211,0.15787211,,0.00908189,10919647.88,0.0,0,0,0,0.00908189,0.00908189,0.00908189,,0.00908189,10919647.88,0.0,0,0,0,0.00908189,0.00908189,0.00908189,,0.00908189,10919647.88,0.0,0,0,0,0.00908189,0.00908189,0.00908189,
C06,D2,control,scalar,Average OT hours,True,24620,0.00041268,0.0295,0.0,0,0,0,0.00041268,0.00041268,0.00041268,,0.00041268,0.0295,0.0,0,0,0,0.00041268,0.00041268,0.00041268,,0.09762843,6.9789,0.0,0,0,0,0.09762843,0.09762843,0.09762843,,0.09762843,6.9789,0.0,0,0,0,0.09762843,0.09762843,0.09762843,,0.00059594,0.0426,0.0,0,0,0,0.00059594,0.00059594,0.00059594,,0.00059594,0.0426,0.0,0,0,0,0.00059594,0.00059594,0.00059594,,0.00059594,0.0426,0.0,0,0,0,0.00059594,0.00059594,0.00059594,
C07,D2,control,scalar,Count active employees,True,24620,0.01012459,1709.0,0.0,0,0,0,0.01012459,0.01012459,0.01012459,,0.01012459,1709.0,0.0,0,0,0,0.01012459,0.01012459,0.01012459,,0.05340735,9015.0,0.0,0,0,0,0.05340735,0.05340735,0.05340735,,0.05340735,9015.0,0.0,0,0,0,0.05340735,0.05340735,0.05340735,,0.00982837,1659.0,0.0,0,0,0,0.00982837,0.00982837,0.00982837,,0.00982837,1659.0,0.0,0,0,0,0.00982837,0.00982837,0.00982837,,0.00982837,1659.0,0.0,0,0,0,0.00982837,0.00982837,0.00982837,
C08,D2,control,table,Agency regular hours ranking,True,24620,0.94736842,,0.0526,9,9,0,0.0,0.0,0.0,,0.88888889,,0.1111,8,8,0,0.0,0.0,0.0,,3.0,,0.0,10,10,0,1.5,1.5,3.0,,3.0,,0.0,10,10,0,1.5,1.5,3.0,,0.82352941,,0.1765,7,7,0,0.0,0.0,0.0,,0.94736842,,0.0526,9,9,0,0.0,0.0,0.0,,0.75,,0.25,6,6,0,0.0,0.0,0.0,
C09,D3,control,table,Sex distribution,True,1788,0.0,,1.0,0,0,0,0.0,0.0,0.0,,0.0,,1.0,0,0,0,0.0,0.0,0.0,,1.0,,0.0,2,2,0,0.0298757,0.02951082,0.06048116,,1.0,,0.0,2,2,0,0.0298757,0.02951082,0.06048116,,0.0,,1.0,0,0,0,0.0,0.0,0.0,,0.0,,1.0,0,0,0,0.0,0.0,0.0,,0.0,,1.0,0,0,0,0.0,0.0,0.0,
C10,D3,control,table,Marriage status distribution,True,1788,0.0,,1.0,0,0,0,0.0,0.0,0.0,,0.0,,1.0,0,0,0,0.0,0.0,0.0,,1.0,,0.0,4,4,0,0.02346535,0.00925926,0.06047295,,1.0,,0.0,4,4,0,0.02346535,0.00925926,0.06047295,,0.0,,1.0,0,0,0,0.0,0.0,0.0,,0.0,,1.0,0,0,0,0.0,0.0,0.0,,0.0,,1.0,0,0,0,0.0,0.0,0.0,
C11,D3,control,scalar,Average BILL_AMT2,True,1788,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.00863436,424.63,0.0,0,0,0,0.00863436,0.00863436,0.00863436,,0.00863436,424.63,0.0,0,0,0,0.00863436,0.00863436,0.00863436,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,
C12,D3,control,scalar,Sum of PAY_AMT1,True,1788,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.07316721,12431652.0,0.0,0,0,0,0.07316721,0.07316721,0.07316721,,0.07316721,12431652.0,0.0,0,0,0,0.07316721,0.07316721,0.07316721,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,
C13,D3,control,table,Default payment distribution,True,1788,0.0,,1.0,0,0,0,0.0,0.0,0.0,,0.0,,1.0,0,0,0,0.0,0.0,0.0,,1.0,,0.0,2,2,0,0.02560554,0.01808318,0.06625578,,1.0,,0.0,2,2,0,0.02560554,0.01808318,0.06625578,,0.0,,1.0,0,0,0,0.0,0.0,0.0,,0.0,,1.0,0,0,0,0.0,0.0,0.0,,0.0,,1.0,0,0,0,0.0,0.0,0.0,
C14,D3,control,scalar,Average PAY_AMT3,True,1788,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.02784135,145.49,0.0,0,0,0,0.02784135,0.02784135,0.02784135,,0.02784135,145.49,0.0,0,0,0,0.02784135,0.02784135,0.02784135,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,
C15,D3,control,scalar,Count long delinquent PAY_2,True,1788,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.03582766,158.0,0.0,0,0,0,0.03582766,0.03582766,0.03582766,,0.03582766,158.0,0.0,0,0,0,0.03582766,0.03582766,0.03582766,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,
